위도(WGS84좌표),경도(WGS84좌표),information,man_made,name,addr:full,operator,operator:type,start_date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
38.169019,128.004665,board,,마을회관게시판,강원도 양구군 양구읍 도사리 203-4,강원도 양구군 양구읍사무소,government,2017,,,203-4,양구읍,,,
38.130285,127.952147,board,,마을회관게시판,강원도 양구군 양구읍 공수리 440,강원도 양구군 양구읍사무소,government,2017,,,440,양구읍,,,
38.161221,127.966151,board,,마을회관게시판,강원도 양구군 양구읍 군량리 190,강원도 양구군 양구읍사무소,government,2017,,,190,양구읍,,,
38.1061783,127.9296007,board,,마을회관게시판,강원도 양구군 양구읍 월명리 330,강원도 양구군 양구읍사무소,government,2017,,,330,양구읍,,,
38.1470285,127.9039966,board,,마을회관게시판,강원도 양구군 양구읍 상무룡리 515,강원도 양구군 양구읍사무소,government,2017,,,515,양구읍,,,
38.1247995,127.8819072,board,,마을회관게시판,강원도 양구군 양구읍 상무룡리 907-2,강원도 양구군 양구읍사무소,government,2017,,,907-2,양구읍,,,
38.1560947,128.046806,board,,마을회관게시판,강원도 양구군 남면 적리 457-6,강원도 양구군 남면사무소,government,2017,,,457-6,남면,,,
38.1424315,128.0464481,board,,마을회관게시판,강원도 양구군 남면 가오작리 612-6,강원도 양구군 남면사무소,government,2017,,,612-6,남면,,,
38.1305724,128.0472448,board,,마을회관게시판,강원도 양구군 남면 가오작리 1037-1,강원도 양구군 남면사무소,government,2017,,,1037-1,남면,,,
38.1228059,128.0426149,board,,마을회관게시판,강원도 양구군 남면 야촌리 467-18,강원도 양구군 남면사무소,government,2017,,,467-18,남면,,,
38.0856152,128.0047092,board,,마을회관게시판,강원도 양구군 남면 구암리 296-2,강원도 양구군 남면사무소,government,2017,,,296-2,남면,,,
38.112383,128.0352227,board,,마을회관게시판,강원도 양구군 남면 용하리 384-4,강원도 양구군 남면사무소,government,2017,,,384-4,남면,,,
38.1051304,128.0306183,board,,마을회관게시판,강원도 양구군 남면 청리 1026-10,강원도 양구군 남면사무소,government,2017,,,1026-10,남면,,,
38.0921433,128.0428,board,,마을회관게시판,강원도 양구군 남면 청리 1144-233,강원도 양구군 남면사무소,government,2017,,,1144-233,남면,,,
38.0866418,128.0475665,board,,마을회관게시판,강원도 양구군 남면 청리 511-2,강원도 양구군 남면사무소,government,2017,,,511-2,남면,,,
38.101722,128.0366291,board,,마을회관게시판,강원도 양구군 남면 청리 813-2,강원도 양구군 남면사무소,government,2017,,,813-2,남면,,,
38.1011651,128.0271208,board,,마을회관게시판,강원도 양구군 남면 송우리 45-6,강원도 양구군 남면사무소,government,2017,,,45-6,남면,,,
38.0909299,128.0169558,board,,마을회관게시판,강원도 양구군 남면 황강리 82-3,강원도 양구군 남면사무소,government,2017,,,82-3,남면,,,
38.0881491,128.0239912,board,,마을회관게시판,강원도 양구군 남면 창리 171-8,강원도 양구군 남면사무소,government,2017,,,171-8,남면,,,
38.081326,128.0186042,board,,마을회관게시판,강원도 양구군 남면 창리 362,강원도 양구군 남면사무소,government,2017,,,362,남면,,,
38.0746199,128.0236665,board,,마을회관게시판,강원도 양구군 남면 도촌리 193-4,강원도 양구군 남면사무소,government,2017,,,193-4,남면,,,
38.0773025,128.0068778,board,,마을회관게시판,강원도 양구군 남면 구암리 423,강원도 양구군 남면사무소,government,2017,,,423,남면,,,
38.0754221,127.9921013,board,,마을회관게시판,강원도 양구군 남면 죽리 599-1,강원도 양구군 남면사무소,government,2017,,,599-1,남면,,,
38.0684475,127.9923197,board,,마을회관게시판,강원도 양구군 남면 죽리 394-2,강원도 양구군 남면사무소,government,2017,,,394-2,남면,,,
38.0597053,127.9843927,board,,마을회관게시판,강원도 양구군 남면 심포리 243-27,강원도 양구군 남면사무소,government,2017,,,243-27,남면,,,
38.0429627,128.0490352,board,,마을회관게시판,강원도 양구군 남면 원리 111-5,강원도 양구군 남면사무소,government,2017,,,111-5,남면,,,
38.0586901,128.0887292,board,,마을회관게시판,강원도 양구군 남면 두무리 277,강원도 양구군 남면사무소,government,2017,,,277,남면,,,
38.1682768,128.0471995,board,,마을회관게시판,강원도 양구군 동면 후곡리 518-5,강원도 양구군 동면사무소,government,2017,,,518-5,동면,,,
38.1831726,128.037381,board,,마을회관게시판,강원도 양구군 동면 지석리 475-2,강원도 양구군 동면사무소,government,2017,,,475-2,동면,,,
38.1084477,127.9724981,board,,마을회관게시판,강원도 양구군 양구읍 하리 244-6,강원도 양구군 동면사무소,government,2017,,,244-6,양구읍,,,
38.177259,128.0413626,board,,마을회관게시판,강원도 양구군 동면 지석리 56-11,강원도 양구군 동면사무소,government,2017,,,56-11,동면,,,
38.1848571,128.0409091,board,,마을회관게시판,강원도 양구군 동면 원당리 697-1,강원도 양구군 동면사무소,government,2017,,,697-1,동면,,,
38.1908817,128.0361829,board,,마을회관게시판,강원도 양구군 동면 덕곡리 86-15,강원도 양구군 동면사무소,government,2017,,,86-15,동면,,,
38.1915607,128.03107,board,,마을회관게시판,강원도 양구군 동면 덕곡리 180-178,강원도 양구군 동면사무소,government,2017,,,180-178,동면,,,
38.2010626,128.0444142,board,,마을회관게시판,강원도 양구군 동면 임당리 606-6,강원도 양구군 동면사무소,government,2017,,,606-6,동면,,,
38.1969405,128.0470365,board,,마을회관게시판,강원도 양구군 동면 임당리 1067,강원도 양구군 동면사무소,government,2017,,,1067,동면,,,
38.197065,128.0418407,board,,마을회관게시판,강원도 양구군 동면 임당리 999,강원도 양구군 동면사무소,government,2017,,,999,동면,,,
