버스정류장 명칭,도로명주소,지번주소,위도,경도,기준일 
대명원,강원도 원주시 호저면 원문로 437,강원도 원주시 호저면 만종리 313-2,37.361371,127.911161,2020-11-25
대보아파트,강원도 원주시 호저면 원문로 638,강원도 원주시 호저면 만종리 658-5,37.353027,127.898994,2020-11-25
대보아파트,강원도 원주시 호저면 원문로 641,강원도 원주시 호저면 만종리 659-23,37.352961,127.899341,2020-11-25
도시가스(예비군훈련장),강원도 원주시 호저면 원문로 395,강원도 원주시 호저면 만종리 361-4,37.361135,127.914833,2020-11-25
도시가스(예비군훈련장),강원도 원주시 호저면 우무개로 406,강원도 원주시 호저면 만종리 323-9,37.361312,127.915468,2020-11-25
동막,강원도 원주시 호저면 고산동막길 111,강원도 원주시 호저면 광격리 1004,37.466465,127.932367,2020-11-25
동막종점,강원도 원주시 호저면 고산동막길 121-5,강원도 원주시 호저면 광격리 469-4,37.467325,127.933219,2020-11-25
마을회관앞,강원도 원주시 호저면 매호로 143,강원도 원주시 호저면 매호리 337-3,37.416,127.883661,2020-11-25
만종가구단지,강원도 원주시 호저면 원문로 686,강원도 원주시 호저면 만종리 976,37.350186,127.897017,2020-11-25
만종초등학교,강원도 원주시 호저면 상봉길 5,강원도 원주시 호저면 만종리 597,37.356868,127.902238,2020-11-25
만종초등학교,강원도 원주시 호저면 원문로 606,강원도 원주시 호저면 만종리 611-1,37.355542,127.900782,2020-11-25
매호,강원도 원주시 호저면 매호로 278,강원도 원주시 호저면 매호리 9-12,37.421198,127.895817,2020-11-25
매호마을,강원도 원주시 호저면 매호로 222,강원도 원주시 호저면 매호리 147,37.416725,127.892804,2020-11-25
무장2리,강원도 원주시 호저면 신무로 728,강원도 원주시 호저면 무장리 269,37.414109,127.895583,2020-11-25
무장2리마을회관,강원도 원주시 호저면 신무로 768-1,강원도 원주시 호저면 무장리 229-8,37.417285,127.896964,2020-11-25
무장2리마을회관,강원도 원주시 호저면 신무로 768-1,강원도 원주시 호저면 무장리 229-15,37.417318,127.896867,2020-11-25
문화마을,강원도 원주시 호저면 호저문화1길 2,강원도 원주시 호저면 주산리 1334,37.415183,127.923826,2020-11-25
물구리,강원도 원주시 호저면 매호로 72,강원도 원주시 호저면 매호리 550-4,37.412781,127.876827,2020-11-25
물구리,강원도 원주시 호저면 매호로 97,강원도 원주시 호저면 매호리 519-6,37.41425,127.879689,2020-11-25
병골,강원도 원주시 호저면 호저로 995,강원도 원주시 호저면 고산리 507-5,37.45601,127.924733,2020-11-25
봉바위계곡,강원도 원주시 호저면 칠봉로 756,강원도 원주시 호저면 용곡리 547-6,37.452568,127.891382,2020-11-25
봉바위계곡,강원도 원주시 호저면 칠봉로 756,강원도 원주시 호저면 용곡리 543-1,37.452686,127.891112,2020-11-25
사랑의집,강원도 원주시 원문로 336-8,강원도 원주시 단계동 755-2,37.360107,127.919282,2020-11-25
건등리,강원도 원주시 문막읍 원문로 1622,강원도 원주시 문막읍 건등리 207-13,37.319286,127.831062,2020-11-25
실버요양원,강원도 원주시 판부면 치악로 1125,강원도 원주시 판부면 금대리 1133-2,37.293328,127.991351,2020-11-25
안중천,강원도 원주시 판부면 서곡길 237,강원도 원주시 판부면 서곡리 192-10,37.302023,127.94444,2020-11-25
애신분교,강원도 원주시 판부면 치악로 604,강원도 원주시 판부면 금대리 148-2,37.263445,128.032758,2020-11-25
오페라 웨딩홀,강원도 원주시 판부면 남원로 380-1,강원도 원주시 판부면 서곡리 산 38-7,37.319795,127.93969,2020-11-25
오페라웨딩홀,강원도 원주시 판부면 남원로 395,강원도 원주시 판부면 서곡리 422-20,37.321069,127.939588,2020-11-25
외동막,강원도 원주시 판부면 용수골길 223,강원도 원주시 판부면 서곡리 1213-1,37.292948,127.940313,2020-11-25
외동막,강원도 원주시 판부면 서곡길 346,강원도 원주시 판부면 서곡리 1213-2,37.293135,127.940459,2020-11-25
원동,강원도 원주시 판부면 치악로 660,강원도 원주시 판부면 금대리 173,37.26525,128.027284,2020-11-25
