경로당명,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
봉산경로당,전라북도 무주군 안성면 봉산길 46,전라북도 무주군 안성면 공정리 1983-5,35.853092,127.67049,2021-07-12
사교경로당,전라북도 무주군 안성면 사교길 14,전라북도 무주군 안성면 사전리 46-4,35.875657,127.677278,2021-07-12
사교할머니경로당,전라북도 무주군 안성면 사교길 14,전라북도 무주군 안성면 사전리 46-4,35.875657,127.677278,2021-07-12
사전경로당,전라북도 무주군 안성면 사전길 31,전라북도 무주군 안성면 사전리 681-1,35.872044,127.666118,2021-07-12
사전상촌경로당,전라북도 무주군 안성면 사전길 61,전라북도 무주군 안성면 사전리 729-1,35.873977,127.668235,2021-07-12
사전할머니경로당,전라북도 무주군 안성면 사전길 31,전라북도 무주군 안성면 사전리 681-1,35.872044,127.666118,2021-07-12
사탄경로당,전라북도 무주군 안성면 모래여울길 9,전라북도 무주군 안성면 사전리 729-1,35.873977,127.668235,2021-07-12
상산경로당,전라북도 무주군 안성면 덕산로 70,전라북도 무주군 안성면 덕산리 1375-5,35.859442,127.673533,2021-07-12
상오동경로당,전라북도 무주군 안성면 오동길 25,전라북도 무주군 안성면 진도리 1363-7,35.8664,127.61379,2021-07-12
상이목경로당,전라북도 무주군 안성면 원통사로 75-1,전라북도 무주군 안성면 장기리 558,35.848678,127.655101,2021-07-12
상이목할머니경로당,전라북도 무주군 안성면 원통사로 75-1,전라북도 무주군 안성면 장기리 558,35.848678,127.655101,2021-07-12
수락경로당,전라북도 무주군 안성면 수락길 20,전라북도 무주군 안성면 덕산리 793-1,35.864362,127.691419,2021-07-12
수락할머니경로당,전라북도 무주군 안성면 수락길 20,전라북도 무주군 안성면 덕산리 793-1,35.864362,127.691419,2021-07-12
시장경로당,전라북도 무주군 안성면 시장아랫길 21,전라북도 무주군 안성면 장기리 1511-150,35.866542,127.652263,2021-07-12
시장할머니경로당,전라북도 무주군 안성면 시장아랫길 21,전라북도 무주군 안성면 장기리 1511-150,35.866542,127.652263,2021-07-12
신무경로당,전라북도 무주군 안성면 원통사로 207,전라북도 무주군 안성면 죽천리 791-1,35.815256,127.689586,2021-07-12
신촌경로당,전라북도 무주군 안성면 신촌길 21,전라북도 무주군 안성면 장기리 1308-100,35.864698,127.655653,2021-07-12
신촌할머니경로당,전라북도 무주군 안성면 신촌길 21,전라북도 무주군 안성면 장기리 1308-100,35.864698,127.655653,2021-07-12
안기경로당,전라북도 무주군 안성면 안기길 34,전라북도 무주군 안성면 금평리 976-1,35.880515,127.691815,2021-07-12
오동경로당,전라북도 무주군 안성면 오동길 102-3 ,전라북도 무주군 안성면 진도리 1425-6,35.86729,127.60725,2021-07-12
오천경로당,전라북도 무주군 안성면 오천길 29,전라북도 무주군 안성면 진도리 644-2,35.863094,127.624778,2021-07-12
오천할머니경로당,전라북도 무주군 안성면 오천길 29,전라북도 무주군 안성면 진도리 644-2,35.863094,127.624778,2021-07-12
외당경로당,전라북도 무주군 안성면 외당길 22-1 ,전라북도 무주군 안성면 공정리 642-1,35.855165,127.687503,2021-07-12
용추경로당,전라북도 무주군 안성면 용추길 17,전라북도 무주군 안성면 공정리 1105-1,35.844672,127.681592,2021-07-12
장내경로당,전라북도 무주군 안성면 장내길 1,전라북도 무주군 안성면 공정리 1713-6,35.847711,127.677709,2021-07-12
장항경로당,전라북도 무주군 안성면 장항길 38,전라북도 무주군 안성면 진도리 1520-1,35.872565,127.60009,2021-07-12
정천경로당,전라북도 무주군 안성면 덕산로 126,전라북도 무주군 안성면 덕산리 1301-7,35.860071,127.679475,2021-07-12
정천할머니경로당,전라북도 무주군 안성면 덕산로 126,전라북도 무주군 안성면 덕산리 1301-7,35.860071,127.679475,2021-07-12
주고경로당,전라북도 무주군 안성면 주고길 81,전라북도 무주군 안성면 공진리 1417-1,35.820245,127.625435,2021-07-12
죽장경로당,전라북도 무주군 안성면 죽장길 52,전라북도 무주군 안성면 죽천리 1973-2,35.815256,127.689586,2021-07-12
죽장할머니경로당,전라북도 무주군 안성면 죽장길 52,전라북도 무주군 안성면 죽천리 1973-2,35.815256,127.689586,2021-07-12
중산경로당,전라북도 무주군 안성면 중산길 11,전라북도 무주군 안성면 장기리 133,35.860174,127.666438,2021-07-12
진원경로당,전라북도 무주군 안성면 진성로 2393,전라북도 무주군 안성면 진도리 434-15,35.865628,127.62826,2021-07-12
진원할머니경로당,전라북도 무주군 안성면 진성로 2393,전라북도 무주군 안성면 진도리 434-15,35.865628,127.62826,2021-07-12
통안경로당,전라북도 무주군 안성면 통안길 1,전라북도 무주군 안성면 공정리 253-1,35.83958,127.691258,2021-07-12
평장경로당,전라북도 무주군 안성면 평장길 9,전라북도 무주군 안성면 죽천리 1753,35.815256,127.689586,2021-07-12
하산경로당,전라북도 무주군 안성면 하산길 32,전라북도 무주군 안성면 사전리 1211-4,35.867502,127.658643,2021-07-12
하이목경로당,전라북도 무주군 안성면 하이목길 32-1 ,전라북도 무주군 안성면 장기리 767-3,35.850634,127.652323,2021-07-12
하이목할머니경로당,전라북도 무주군 안성면 하이목길 32-1 ,전라북도 무주군 안성면 장기리 767-3,35.850634,127.652323,2021-07-12
효자촌경로당,전라북도 무주군 안성면 효자촌길 55 ,전라북도 무주군 안성면 진도리 20-4,35.872166,127.651986,2021-07-12
가정경로당,전라북도 무주군 부남면 부남로 1768,전라북도 무주군 부남면 가당리 474-4,36.014109,127.578683,2021-07-12
가정할머니경로당,전라북도 무주군 부남면 부남로 1768,전라북도 무주군 부남면 가당리 474-4,36.014109,127.578683,2021-07-12
고창경로당,전라북도 무주군 부남면 고창길 15-1,전라북도 무주군 부남면 고창리 304-1,35.942842,127.567692,2021-07-12
고창할머니경로당,전라북도 무주군 부남면 고창길 15-1,전라북도 무주군 부남면 고창리 304-1,35.942842,127.567692,2021-07-12
교동경로당,전라북도 무주군 부남면 장안교동길 6 ,전라북도 무주군 부남면 장안리 882-17,35.908301,127.587426,2021-07-12
교동할머니경로당,전라북도 무주군 부남면 장안교동길 6 ,전라북도 무주군 부남면 장안리 882-17,35.908301,127.587426,2021-07-12
대소경로당,전라북도 무주군 부남면 대소길 23-10,전라북도 무주군 부남면 대소리 154-1,35.973465,127.561103,2021-07-12
대소할머니경로당,전라북도 무주군 부남면 대소길 23-10,전라북도 무주군 부남면 대소리 154-1,35.973465,127.561103,2021-07-12
대티경로당,전라북도 무주군 부남면 대티길 57,전라북도 무주군 부남면 대유리 138-1,35.995247,127.573483,2021-07-12
대티할머니경로당,전라북도 무주군 부남면 대티길 57,전라북도 무주군 부남면 대유리 138-1,35.995247,127.573483,2021-07-12
도소경로당,전라북도 무주군 부남면 유섬길 155,전라북도 무주군 부남면 대소리 1433-2,35.971692,127.548729,2021-07-12
상굴경로당,전라북도 무주군 부남면 상굴암길 15,전라북도 무주군 부남면 굴암리 296-1,35.988853,127.58652,2021-07-12
상대경로당,전라북도 무주군 부남면 상대곡길 140,전라북도 무주군 부남면 장안리 1571-1,35.887233,127.588098,2021-07-12
상평경로당,전라북도 무주군 부남면 상평당길 83,전라북도 무주군 부남면 가당리 1778-2,36.025208,127.551302,2021-07-12
시목경로당,전라북도 무주군 부남면 부남로 280,전라북도 무주군 부남면 장안리 676,35.926023,127.575093,2021-07-12
식암경로당,전라북도 무주군 부남면 부남로 138,전라북도 무주군 부남면 장안리 502-9,35.916808,127.584475,2021-07-12
유동경로당,전라북도 무주군 부남면 대홍로 23,전라북도 무주군 부남면 대유리 738,35.985114,127.555449,2021-07-12
유평경로당,전라북도 무주군 부남면 유섬길 80,전라북도 무주군 부남면 대소리 1059-4,35.965982,127.552138,2021-07-12
유평할머니경로당,전라북도 무주군 부남면 유섬길 80 ,전라북도 무주군 부남면 대소리 1059-4,35.965982,127.552138,2021-07-12
율소경로당,전라북도 무주군 부남면 율소길 31-8,전라북도 무주군 부남면 굴암리 750-1,35.988988,127.572796,2021-07-12
장안경로당,전라북도 무주군 부남면 장안길 14-3,전라북도 무주군 부남면 장안리 144-5,35.903895,127.592073,2021-07-12
하굴암신대경로당,전라북도 무주군 부남면 굴암신대길 85,전라북도 무주군 부남면 굴암리 1173-31,36.001567,127.591002,2021-07-12
