위도,경도,name,addr:full,highway,public_transport,operator
37.429875,127.942193,대덕1리,강원도 원주시 호저면 쇠절이길 72-2,bus_stop,platform,원주시
37.424799,127.940525,대덕마을,강원도 원주시 호저면 대덕길 161,bus_stop,platform,원주시
37.362637,127.874332,지촌,강원도 원주시 지정면 지촌안길 20,bus_stop,platform,원주시
37.362699,127.874127,고여대,강원도 원주시 지정면 지촌안길 20,bus_stop,platform,원주시
37.36632,127.864101,가곡1리,강원도 원주시 지정면 조엄로 289,bus_stop,platform,원주시
37.357183,127.872666,가곡2리,강원도 원주시 지정면 지래울로 41,bus_stop,platform,원주시
37.359958,127.860157,가곡리,강원도 원주시 지정면 조엄로 205-1,bus_stop,platform,원주시
37.355437,127.843994,곤충마을,강원도 원주시 지정면 간현로 13,bus_stop,platform,원주시
37.341595,127.880386,광터사거리,강원도 원주시 흥업면 광터길 127,bus_stop,platform,원주시
37.347062,127.880236,광터사거리,강원도 원주시 지정면 보통로 497-3,bus_stop,platform,원주시
37.401492,127.87204,구미,강원도 원주시 지정면 생골길 4,bus_stop,platform,원주시
37.357043,127.844411,노루고개,강원도 원주시 지정면 간현로 45,bus_stop,platform,원주시
37.356726,127.844355,노루고개,강원도 원주시 지정면 간현로 45,bus_stop,platform,원주시
37.353501,127.843987,노루골,강원도 원주시 지정면 지정로 183,bus_stop,platform,원주시
37.404051,127.798916,늑동골,강원도 원주시 지정면 구재로 231-1,bus_stop,platform,원주시
37.403583,127.798696,늑동골,강원도 원주시 지정면 구재로 216,bus_stop,platform,원주시
37.343829,127.821872,능촌,강원도 원주시 지정면 지정로 614,bus_stop,platform,원주시
37.395033,127.789039,달랑고개,강원도 원주시 지정면 구재로 84,bus_stop,platform,원주시
37.395143,127.788941,달랑고개,강원도 원주시 지정면 구재로 84,bus_stop,platform,원주시
37.369368,127.774307,도경계,강원도 원주시 지정면 원양2로 335,bus_stop,platform,원주시
37.368893,127.774412,도경계,강원도 원주시 지정면 원양2로 335,bus_stop,platform,원주시
37.366215,127.897019,문화마을,강원도 원주시 지정면 지정문화길 3-2,bus_stop,platform,원주시
37.366197,127.896792,문화마을,강원도 원주시 지정면 지정문화길 3-2,bus_stop,platform,원주시
37.33989,127.865187,보통동,강원도 원주시 지정면 보통로 278,bus_stop,platform,원주시
37.337645,127.869321,복금동,강원도 원주시 지정면 보통로 325,bus_stop,platform,원주시
37.337565,127.869691,복금동,강원도 원주시 지정면 보통안길 27-20,bus_stop,platform,원주시
37.359625,127.842816,본동마을,강원도 원주시 지정면 간현로 88,bus_stop,platform,원주시
37.359561,127.842666,본동마을,강원도 원주시 지정면 간현로 88,bus_stop,platform,원주시
37.244365,127.764362,새말,강원도 원주시 부론면 흥호새말길 12-8,bus_stop,platform,원주시
