위도,경도,name,highway,public_transport,operator
37.650827,128.854505,들꽃마을,bus_stop,platform,강릉시
37.650869,128.854405,들꽃마을,bus_stop,platform,강릉시
37.716182,128.861751,등고비,bus_stop,platform,강릉시
37.716215,128.861619,등고비,bus_stop,platform,강릉시
37.711312,129.010246,등명락가사,bus_stop,platform,강릉시
37.711473,129.009995,등명락가사,bus_stop,platform,강릉시
37.702029,129.016245,등명해변,bus_stop,platform,강릉시
37.702383,129.01588,등명해변,bus_stop,platform,강릉시
37.74376,128.908343,똑갑재,bus_stop,platform,강릉시
37.743153,128.908471,똑갑재,bus_stop,platform,강릉시
37.765476,128.909316,로얄아파트,bus_stop,platform,강릉시
37.766914,128.89119,롯데캐슬아파트,bus_stop,platform,강릉시
37.881524,128.825972,맘모스마트,bus_stop,platform,강릉시
37.761624,128.895612,명륜고교후문,bus_stop,platform,강릉시
37.761572,128.895717,명륜고교후문,bus_stop,platform,강릉시
37.826464,128.84899,모래내행복센터,bus_stop,platform,강릉시
37.826778,128.848857,모래내행복센터,bus_stop,platform,강릉시
37.685979,129.037193,모래시계공원,bus_stop,platform,강릉시
37.685699,129.038071,모래시계공원,bus_stop,platform,강릉시
37.731485,128.900384,모산초교,bus_stop,platform,강릉시
37.731469,128.900283,모산초교,bus_stop,platform,강릉시
37.783777,128.903337,모안이서낭당,bus_stop,platform,강릉시
37.783861,128.903246,모안이서낭당,bus_stop,platform,강릉시
37.719852,128.961375,모전1리,bus_stop,platform,강릉시
37.719857,128.961472,모전1리,bus_stop,platform,강릉시
37.712463,128.957722,모전리,bus_stop,platform,강릉시
37.712363,128.957765,모전리,bus_stop,platform,강릉시
37.709892,128.950731,모전리.돌평,bus_stop,platform,강릉시
37.709836,128.95081,모전리.돌평,bus_stop,platform,강릉시
37.725692,128.964567,모전삼거리,bus_stop,platform,강릉시
37.725744,128.965056,모전삼거리,bus_stop,platform,강릉시
37.6468,128.85396,목계리,bus_stop,platform,강릉시
37.637584,128.859264,목계리경로당,bus_stop,platform,강릉시
37.638156,128.858673,목계리경로당,bus_stop,platform,강릉시
37.632747,128.859088,목계마을회관,bus_stop,platform,강릉시
37.63269,128.859003,목계마을회관,bus_stop,platform,강릉시
37.776732,128.874711,문성고등학교,bus_stop,platform,강릉시
37.776884,128.874588,문성고등학교,bus_stop,platform,강릉시
37.743707,128.915729,문암정,bus_stop,platform,강릉시
37.744493,128.91486,문암정,bus_stop,platform,강릉시
37.72296,128.88033,문화마을,bus_stop,platform,강릉시
37.722998,128.880448,문화마을,bus_stop,platform,강릉시
37.829733,128.864918,미노리,bus_stop,platform,강릉시
37.834206,128.863752,미노마을입구,bus_stop,platform,강릉시
37.754475,128.865488,미디어촌A,bus_stop,platform,강릉시
37.754334,128.865737,미디어촌A,bus_stop,platform,강릉시
37.769157,128.902486,미라보A,bus_stop,platform,강릉시
37.769071,128.902568,미라보A,bus_stop,platform,강릉시
37.730369,128.914102,박월동마을회관,bus_stop,platform,강릉시
37.730431,128.914338,박월동마을회관,bus_stop,platform,강릉시
37.76052,128.933708,반쟁이,bus_stop,platform,강릉시
37.643647,129.015875,밤재휴게소,bus_stop,platform,강릉시
37.643636,129.015986,밤재휴게소,bus_stop,platform,강릉시
37.831807,128.875119,방동하리,bus_stop,platform,강릉시
