위도,경도,public_transport,bus,operator,name,passenger_information_display
37.7507167,127.1152,platform,yes,경기도 의정부시,민락엘레트19단지.우미린아파트,yes
37.75285,127.1076167,platform,yes,경기도 의정부시,송양고등학교.호반베르디움2차아파트앞,yes
37.75295,127.1078667,platform,yes,경기도 의정부시,송양고등학교,yes
37.7490167,127.09725,platform,yes,경기도 의정부시,금강펜테리움.단독주택단지,yes
37.74925,127.0989167,platform,yes,경기도 의정부시,부용마을3단지.단독주택단지,yes
37.71045,127.0479167,platform,yes,경기도 의정부시,그랑베르아파트,yes
37.7398833,127.0515333,platform,yes,경기도 의정부시,제일시장앞,yes
37.7517167,127.10065,platform,yes,경기도 의정부시,의정부민락,yes
37.75155,127.1003667,platform,yes,경기도 의정부시,의정부민락,yes
37.7400333,127.09035,platform,yes,경기도 의정부시,송산행정복지센터,yes
37.7501,127.03545,platform,yes,경기도 의정부시,신촌교차로,yes
37.74985,127.0648167,platform,yes,경기도 의정부시,천보중학교,yes
37.7429167,127.0849333,platform,yes,경기도 의정부시,어룡역.롯데마트,yes
37.7469833,127.0439333,platform,yes,경기도 의정부시,가능역앞,yes
37.7556167,127.0219,platform,yes,경기도 의정부시,한도병원,yes
37.7314167,127.0481333,platform,yes,경기도 의정부시,의정부3동주민센터입구,yes
37.7285833,127.0482,platform,yes,경기도 의정부시,의정부교앞,yes
37.7261167,127.0493667,platform,yes,경기도 의정부시,호원중앙감리교회,yes
37.7266833,127.0557833,platform,yes,경기도 의정부시,장암동주민센터.발곡중학교,yes
37.7267333,127.0587333,platform,yes,경기도 의정부시,장암주공2.5단지,yes
37.7374167,127.09565,platform,yes,경기도 의정부시,청구아파트,yes
37.73895,127.0960833,platform,yes,경기도 의정부시,민락주공2단지,yes
37.73835,127.04915,platform,yes,경기도 의정부시,제일시장입구,yes
37.7450833,127.0462667,platform,yes,경기도 의정부시,중앙초등학교,yes
37.7542167,127.03345,platform,yes,경기도 의정부시,의정부지방법원.검찰청앞,yes
37.74675,127.0368833,platform,yes,경기도 의정부시,가능초교앞,yes
