위도,경도,name,operator,source:date
38.02428,127.88333,추곡초교,춘천시,2019-11-27
38.03586,127.88815,추곡약수터,춘천시,2019-11-27
37.74728,127.65345,추곡리2반,춘천시,2019-11-27
37.74752,127.6535,추곡리2반,춘천시,2019-11-27
38.0274,127.88297,추곡리,춘천시,2019-11-27
38.02754,127.88309,추곡리,춘천시,2019-11-27
37.74995,127.65293,추곡리,춘천시,2019-11-27
37.74964,127.65319,추곡1리,춘천시,2019-11-27
37.74478,127.6504,추곡리,춘천시,2019-11-27
37.74485,127.65049,추곡3거리,춘천시,2019-11-27
38.02006,127.88114,추곡1리1반,춘천시,2019-11-27
38.01953,127.88109,추곡1리,춘천시,2019-11-27
38.0135,127.88095,추곡1리,춘천시,2019-11-27
38.03353,127.87726,추곡,춘천시,2019-11-27
37.98161,127.69447,초원낚시터,춘천시,2019-11-27
37.98155,127.694,고탄낚시터,춘천시,2019-11-27
37.88122,127.71365,청와A,춘천시,2019-11-27
37.87338,127.75833,청실A,춘천시,2019-11-27
37.87322,127.75856,청실A,춘천시,2019-11-27
37.99323,127.88139,청소년야영장,춘천시,2019-11-27
37.99337,127.88144,청소년야영장,춘천시,2019-11-27
37.92216,127.72023,인형극장,춘천시,2019-11-27
37.92206,127.72031,인형극장,춘천시,2019-11-27
37.92246,127.72125,청소년수련원,춘천시,2019-11-27
37.9225,127.72098,청소년수련원,춘천시,2019-11-27
37.87004,127.75432,청구/동아A,춘천시,2019-11-27
37.87026,127.75433,동아/청구A,춘천시,2019-11-27
37.93015,127.78167,천전삼거리,춘천시,2019-11-27
37.92981,127.78535,상천초등학교,춘천시,2019-11-27
37.9298,127.78031,천전3리,춘천시,2019-11-27
37.92991,127.78027,천전3리,춘천시,2019-11-27
37.93044,127.77356,춘천국유림관리소,춘천시,2019-11-27
37.93054,127.77392,춘천국유림관리소,춘천시,2019-11-27
37.93712,127.77524,천전1리,춘천시,2019-11-27
37.93712,127.77538,천전1리,춘천시,2019-11-27
37.75704,127.77995,천일주유소,춘천시,2019-11-27
37.80833,127.63656,강촌1리회관,춘천시,2019-11-27
37.80813,127.63647,창촌중학교,춘천시,2019-11-27
37.78336,127.64638,창촌2리마을회관,춘천시,2019-11-27
37.78419,127.6466,창촌2리마을회관,춘천시,2019-11-27
37.7767,127.62608,창촌3리종점,춘천시,2019-11-27
37.77659,127.64404,창촌3리입구,춘천시,2019-11-27
37.77647,127.64375,창촌3리입구,춘천시,2019-11-27
37.896,127.67269,방동1리,춘천시,2019-11-27
37.89701,127.67023,방동1리,춘천시,2019-11-27
37.89848,127.66765,방동1리,춘천시,2019-11-27
37.89841,127.66762,방동1리,춘천시,2019-11-27
37.89697,127.67012,방동1리,춘천시,2019-11-27
37.8959,127.67276,방동1리,춘천시,2019-11-27
37.89567,127.67526,방동1리,춘천시,2019-11-27
37.8028,127.6377,방곡리,춘천시,2019-11-27
37.80283,127.63755,방곡리,춘천시,2019-11-27
37.79139,127.63587,방곡2리회관,춘천시,2019-11-27
37.79127,127.63585,방곡2리회관,춘천시,2019-11-27
37.78825,127.62927,방곡2리종점,춘천시,2019-11-27
37.79489,127.64248,방곡1리,춘천시,2019-11-27
37.79771,127.63958,방곡1리,춘천시,2019-11-27
