위도,경도,ref,name,name:ko,highway,public_transport
38.12199,127.17942,4320062,내대보건진료소,내대보건진료소,bus_stop,platform
38.11981,127.18125,4320063,내대리입구(시라리),내대리입구(시라리),bus_stop,platform
38.11648,127.18506,4320065,독박골,독박골,bus_stop,platform
38.11561,127.18692,4320067,문혜3리,문혜3리,bus_stop,platform
38.1125,127.19069,4320342,8736부대,8736부대,bus_stop,platform
38.11088,127.19236,4320172,문혜사거리,문혜사거리,bus_stop,platform
38.10868,127.19461,4320327,승포회관,승포회관,bus_stop,platform
38.10651,127.19635,4320174,문혜3거리,문혜3거리,bus_stop,platform
38.1019,127.1914,4320238,문혜4리(윗삼성리),문혜4리(윗삼성리),bus_stop,platform
38.09836,127.18862,4320176,하삼성리,하삼성리,bus_stop,platform
38.09474,127.18604,4320326,군탄사거리,군탄사거리,bus_stop,platform
38.09318,127.18517,4320178,군탄리,군탄리,bus_stop,platform
38.09027,127.18445,4320180,길병원,길병원,bus_stop,platform
38.08865,127.18458,4320182,갈말읍사무소,갈말읍사무소,bus_stop,platform
38.08727,127.18626,4320324,신철원2리(우체국),신철원2리(우체국),bus_stop,platform
38.08739,127.18625,4320236,신철원2리(우체국),신철원2리(우체국),bus_stop,platform
38.08859,127.18478,4320183,갈말읍사무소,갈말읍사무소,bus_stop,platform
38.09029,127.18463,4320181,길병원,길병원,bus_stop,platform
38.0931,127.18528,4320179,군탄리,군탄리,bus_stop,platform
38.09472,127.18618,4320325,군탄사거리,군탄사거리,bus_stop,platform
38.09869,127.18923,4320177,하삼성리,하삼성리,bus_stop,platform
38.10137,127.19164,4320237,문혜4리(윗삼성리),문혜4리(윗삼성리),bus_stop,platform
38.10642,127.19654,4320175,문혜3거리,문혜3거리,bus_stop,platform
38.10873,127.19472,4320328,승포회관,승포회관,bus_stop,platform
38.11101,127.19252,4320173,문혜사거리,문혜사거리,bus_stop,platform
38.11095,127.19728,4320350,괸돌,괸돌,bus_stop,platform
38.11141,127.2001,4320057,문혜헌병사거리,문혜헌병사거리,bus_stop,platform
38.12155,127.20364,4320072,갈현고개,갈현고개,bus_stop,platform
38.13026,127.20514,4320074,선돌,선돌,bus_stop,platform
38.13458,127.20634,4320076,불당천,불당천,bus_stop,platform
38.13798,127.20862,4320394,2567부대,2567부대,bus_stop,platform
38.14111,127.21022,4320240,지경리,지경리,bus_stop,platform
38.14345,127.21768,4320079,연동(청양2리),연동(청양2리),bus_stop,platform
38.14588,127.22392,4320081,청양3리.청하마을,청양3리.청하마을,bus_stop,platform
38.14618,127.22637,4320084,청양초등학교,청양초등학교,bus_stop,platform
38.14646,127.2284,4320085,청양3리(수무정),청양3리(수무정),bus_stop,platform
38.14387,127.23297,4320087,청아골,청아골,bus_stop,platform
38.14769,127.23458,4320088,청양4리,청양4리,bus_stop,platform
38.14811,127.23745,4320090,청양4리.만경동,청양4리.만경동,bus_stop,platform
38.14906,127.24374,4320092,김화농공단지,김화농공단지,bus_stop,platform
38.14922,127.24668,4320352,체육공원,체육공원,bus_stop,platform
38.14953,127.25148,4320106,김화읍사무소,김화읍사무소,bus_stop,platform
38.14834,127.2523,4320282,학사리,학사리,bus_stop,platform
38.14566,127.25945,4320108,김화여중고,김화여중고,bus_stop,platform
38.1433,127.2626,4320249,와수리,와수리,bus_stop,platform
38.14476,127.2637,4320110,와수리차고지,와수리차고지,bus_stop,platform
38.08739,127.18625,4320236,신철원2리(우체국),신철원2리(우체국),bus_stop,platform
