위도,경도,highway,public_transport,bus,name,addr:full,source,source:date
37.173351,127.960707,bus_stop,platform,yes,화당2리 다목적회관(백운 방향),충청북도 제천시 백운면 화당2리 468,공공데이터포털,2020-04-28
37.174241,127.954355,bus_stop,platform,yes,화당2리 대호지(종점)(종점 방향),충청북도 제천시 백운면 화당2리 373-2,공공데이터포털,2020-04-28
37.174241,127.954355,bus_stop,platform,yes,화당2리 대호지(종점)(백운 방향),충청북도 제천시 백운면 화당2리 373-2,공공데이터포털,2020-04-28
37.183999,128.205834,bus_stop,platform,yes,안모산 만남의광장,충청북도 제천시 의림대로 657,공공데이터포털,2020-04-28
37.182609,128.206743,bus_stop,platform,yes,안모산 (밤나무골)앞,충청북도 제천시 의림대로 639,공공데이터포털,2020-04-28
37.182609,128.206743,bus_stop,platform,yes,안모산 (밤나무골)뒤 ,충청북도 제천시 의림대로 639,공공데이터포털,2020-04-28
37.053863,128.160461,bus_stop,platform,yes,모산동 솔밭입구,충청북도 제천시 모상동 93-4,공공데이터포털,2020-04-28
37.180118,128.208921,bus_stop,platform,yes,세명대 사거리,충청북도 제천시 의림대로 606,공공데이터포털,2020-04-28
37.178251,128.210222,bus_stop,platform,yes,안모산 정미소앞,충청북도 제천시 의림대로 582,공공데이터포털,2020-04-28
37.172021,128.212018,bus_stop,platform,yes,제1의 림지 입구,충청북도 제천시 모산동 565-16,공공데이터포털,2020-04-28
37.166884,128.21224,bus_stop,platform,yes,밖모산 우림정 위,충청북도 제천시 의림대로 448,공공데이터포털,2020-04-28
37.160523,128.211704,bus_stop,platform,yes,모산 로즈월 앞,충청북도 제천시 신죽하로 176,공공데이터포털,2020-04-28
37.160433,128.216635,bus_stop,platform,yes,홍인 아파트 사거리 옆,충청북도 제천시 신죽하로 129,공공데이터포털,2020-04-28
37.160433,128.216635,bus_stop,platform,yes,홍인 아파트 사거리 앞,충청북도 제천시 신죽하로 129,공공데이터포털,2020-04-28
37.168687,128.240058,bus_stop,platform,yes,고암동 태양철강 앞,충청북도 제천시 내토로 1071,공공데이터포털,2020-04-28
37.165622,128.231682,bus_stop,platform,yes,고암동 둔전골 입구 사거리,충청북도 제천시 고암동 737-2,공공데이터포털,2020-04-28
37.053863,128.160461,bus_stop,platform,yes,고암동 효자원 입구,충청북도 제천시 송학주천로 50,공공데이터포털,2020-04-28
37.173905,128.235469,bus_stop,platform,yes,고암동 보궁장례식장 앞,충청북도 제천시 송학주천로 100,공공데이터포털,2020-04-28
37.14278,128.206262,bus_stop,platform,yes,프라임공인중개사사무소 앞,충청북도 제천시 명륜로 46-2,공공데이터포털,2020-04-28
37.143113,128.206387,bus_stop,platform,yes,인사동밥집 앞,충청북도 제천시 명륜로 45,공공데이터포털,2020-04-28
37.144032,128.206592,bus_stop,platform,yes,광진샤인빌 맞은편,충청북도 제천시 내제로 176,공공데이터포털,2020-04-28
37.14433,128.206019,bus_stop,platform,yes,광진샤인빌 앞,충청북도 제천시 내제로 15길 4,공공데이터포털,2020-04-28
37.144648,128.209644,bus_stop,platform,yes,의림동 8통,충청북도 제천시 의림동 3-29,공공데이터포털,2020-04-28
37.141032,128.210963,bus_stop,platform,yes,중앙로2가 7통,충청북도 제천시 명륜로 92-1,공공데이터포털,2020-04-28
37.135186,128.204913,bus_stop,platform,yes,제천여고 앞,충청북도 제천시 명동 258번지,공공데이터포털,2020-04-28
37.134791,128.209077,bus_stop,platform,yes,화산교차로,충청북도 제천시 중앙로1가 116-24,공공데이터포털,2020-04-28
37.13299,128.203028,bus_stop,platform,yes,명동 4통,충청북도 제천시 동명로 24,공공데이터포털,2020-04-28
37.139714,128.207616,bus_stop,platform,yes,의림동 2통,충청북도 제천시 숭문로12길 3,공공데이터포털,2020-04-28
37.139858,128.207324,bus_stop,platform,yes,의림동 3통,충청북도 제천시 숭문로73,공공데이터포털,2020-04-28
37.137283,128.205966,bus_stop,platform,yes,명동 1통,충청북도 제천시 명동 268-1,공공데이터포털,2020-04-28
37.137419,128.205707,bus_stop,platform,yes,서부시장,충청북도 제천시 서부동 400 ,공공데이터포털,2020-04-28
37.136385,128.204691,bus_stop,platform,yes,제천여고앞,충청북도 제천시 서부동 740,공공데이터포털,2020-04-28
37.131436,128.199872,bus_stop,platform,yes,북성연립(청송자동차용품 앞),충청북도 제천시 영천동 859 ,공공데이터포털,2020-04-28
37.130679,128.205194,bus_stop,platform,yes,역전오거리(도레미분식앞),충청북도 제천시 영천동 342 ,공공데이터포털,2020-04-28
37.12571,128.202502,bus_stop,platform,yes,영천동 청풍방면(모란세차장),충청북도 제천시 영천동 1503,공공데이터포털,2020-04-28
37.129736,128.203593,bus_stop,platform,yes,남당초교앞(첼로모텔),충청북도 제천시 영천동 676 ,공공데이터포털,2020-04-28
37.126836,128.202786,bus_stop,platform,yes,기관차사무소앞(영천관식당맞은편),충청북도 제천시 영천동 1442,공공데이터포털,2020-04-28
37.124939,128.205077,bus_stop,platform,yes,강저휴먼시아1단지(108동앞),충청북도 제천시 영천동 2225 ,공공데이터포털,2020-04-28
37.1236,128.208483,bus_stop,platform,yes,강저 리슈빌 아파트 앞,충청북도 제천시 영천동 2234,공공데이터포털,2020-04-28
37.125105,128.208183,bus_stop,platform,yes,원화산입구(강저주공 아파트4단지),충청북도 제천시 영천동 2236,공공데이터포털,2020-04-28
37.125105,128.208183,bus_stop,platform,yes,원화산 입구(강저주공 4단지 맞은편),충청북도 제천시 영천동 2236 ,공공데이터포털,2020-04-28
37.13047,128.195717,bus_stop,platform,yes,코아루아파트 옆(신당공원),충청북도 제천시 천남동 30-12,공공데이터포털,2020-04-28
37.131615,128.195359,bus_stop,platform,yes,코아루아파트 정문 맞은편(모델하우스앞),충청북도 제천시 천남동 9-10 ,공공데이터포털,2020-04-28
37.129898,128.175445,bus_stop,platform,yes,제천노인병원입구(우성장수촌앞),충청북도 제천시 천남동 289-2,공공데이터포털,2020-04-28
37.129948,128.165913,bus_stop,platform,yes,신동(1통 방앗간 앞),충청북도 제천시 신동 158-4,공공데이터포털,2020-04-28
37.131349,128.163237,bus_stop,platform,yes,구신동 마을회관 앞,충청북도 제천시 신동 160-4,공공데이터포털,2020-04-28
37.13399,128.162939,bus_stop,platform,yes,놋적개마을 입구,충청북도 제천시 신동 209-1,공공데이터포털,2020-04-28
37.127974,128.159831,bus_stop,platform,yes,세거리입구(구)용진매매상사앞,충청북도 제천시 신동 389-6,공공데이터포털,2020-04-28
37.129293,128.157617,bus_stop,platform,yes,신동1통 세거리입구,충청북도 제천시 신동 387-26,공공데이터포털,2020-04-28
37.124298,128.206054,bus_stop,platform,yes,영천동 휴먼시아4단지,충청북도 제천시 영천동 2164,공공데이터포털,2020-04-28
37.132048,128.195,bus_stop,platform,yes,남천동 동명초 사거리,충청북도 제천시 천남동 30-10,공공데이터포털,2020-04-28
37.132211,128.229734,bus_stop,platform,yes,신백동(그린주유소),충청북도 제천시 신백동 11-2,공공데이터포털,2020-04-28
37.135089,128.227897,bus_stop,platform,yes,신백동(내토초등학교앞),충청북도 제천시 신백동96-13,공공데이터포털,2020-04-28
37.134042,128.228693,bus_stop,platform,yes,신백동(내토초등학교앞),충청북도 제천시 신백동132,공공데이터포털,2020-04-28
37.13323,128.224863,bus_stop,platform,yes,신백동(덕일한마음아파트 후문 진입도로),충청북도 제천시 신백동 405-3,공공데이터포털,2020-04-28
37.132362,128.226504,bus_stop,platform,yes,신백동(신백동),충청북도 제천시 신백동 184-23,공공데이터포털,2020-04-28
37.127825,128.223711,bus_stop,platform,yes,신백동(행정복지센터 앞),충청북도 제천시 신백동 253-13,공공데이터포털,2020-04-28
37.129764,128.227914,bus_stop,platform,yes,신백동(장미아파트앞),충청북도 제천시 신백동 214-6,공공데이터포털,2020-04-28
37.13254,128.22745,bus_stop,platform,yes,신백동(제천상고),충청북도 제천시 신백동 183-1,공공데이터포털,2020-04-28
37.13323,128.229287,bus_stop,platform,yes,신백동(제천상고앞),충청북도 제천시 신백동 26-7,공공데이터포털,2020-04-28
37.120407,128.238363,bus_stop,platform,yes,고명4통(시거리),충청북도 제천시 고명동 879-1,공공데이터포털,2020-04-28
37.114072,128.233842,bus_stop,platform,yes,고명동(백양동),충청북도 제천시 고명동 867-1,공공데이터포털,2020-04-28
