위도,경도,public_transport,bus,name,addr:full,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.49164,129.10467,platform,yes,북삼도서관(대동.북평방면),,2020-11-24,,,254-2,동회동,,,
37.49255,129.10734,platform,yes,북삼우체국(무릉.신흥방면),,2020-11-24,,,209-3,동회동,,,
37.49227,129.10785,platform,yes,북평고등학교(대동.북평방면),,2020-11-24,,,430-12,동회동,,,
37.49623,129.10125,platform,yes,북삼초등학교(한중대방면),,2020-11-24,,,139-4,지흥동,,,
37.49628,129.10047,platform,yes,북삼초등학교(대동.시청방면),,2020-11-24,,,517-5,지흥동,,,
37.49077,129.10838,platform,yes,북평고등학교(무릉.신흥방면),,2020-11-24,,,58-1,동회동,,,
37.49062,129.10826,platform,yes,북평고등학교(대동.북평방면),,2020-11-24,,,59-4,동회동,,,
37.47549,129.13254,platform,yes,북평국가산업단지(북평.삼척방면),,2020-11-24,,,326-4,대구동,,,
37.47543,129.13287,platform,yes,북평국가산업단지(북평.시청방면),,2020-11-24,,,124-10,구미동,,,
37.48058,129.12841,platform,yes,북평중앙사거리(북평.삼척방면),,2020-11-24,,,553-2,구미동,,,
37.48113,129.12828,platform,yes,북평장터(북평.시청방면),,2020-11-24,,,513-5,구미동,,,
37.48113,129.12084,platform,yes,북평주공2차아파트앞(대동.무릉방면),,2020-11-24,,,89-1,북평동,,,
37.48137,129.12168,platform,yes,북평주공2차아파트앞(북평.시청방면),,2020-11-24,,,151-5,북평동,,,
37.48324,129.12526,platform,yes,북평우체국(대동.무릉방면),,2020-11-24,,,30-1,북평동,,,
37.49815,129.1106,platform,yes,샘터(북평.삼척방면),,2020-11-24,,,275-4,효가동,,,
37.49826,129.11088,platform,yes,북평중학교(시청.발한방면),,2020-11-24,,,275-6,효가동,,,
37.49807,129.11546,platform,yes,북평중(등교)(시청.발한방면),,2020-11-24,,,4-4,효가동,,,
37.48208,129.12317,platform,yes,북평초교(시청.발한방면),,2020-11-24,,,121-2,북평동,,,
37.48218,129.12302,platform,yes,북평초교앞(대동.무릉방면),,2020-11-24,,,120-5,북평동,,,
37.55589,129.10438,platform,yes,사문재(발한.시청방면),,2020-11-24,,,348-17,발한동,,,
37.55606,129.10458,platform,yes,사문재(옥계방면),,2020-11-24,,,354-145,발한동,,,
37.56143,129.10173,platform,yes,자매공원(발한.시청방면),,2020-11-24,,,377-11,발한동,,,
37.56205,129.10145,platform,yes,사문재(옥계방면),,2020-11-24,,,382-32,발한동,,,
37.57918,129.08485,platform,yes,삼곡소류지(발한.시청방면),,2020-11-24,,,303-4,심곡동,,,
37.57913,129.08481,platform,yes,삼곡소류지(만우방면),,2020-11-24,,,300-2,심곡동,,,
37.55921,129.11436,platform,yes,삼본아파트(발한.시청방면),,2020-11-24,,,1-108,묵호진동,,,
37.55906,129.11428,platform,yes,삼본아파트(묵호등대방면),,2020-11-24,,,1-72,묵호진동,,,
37.52349,129.1127,platform,yes,삼성아파트(시청.북평방면),,2020-11-24,,,1076,천곡동,,,
37.52395,129.11197,platform,yes,천일서점(발한.옥계방면),,2020-11-24,,,801-18,천곡동,,,
37.53865,129.108,platform,yes,동해교육도서관(시청.북평방면),,2020-11-24,,,166-16,부곡동,,,
37.53903,129.10847,platform,yes,동해교육도서관(발한.망상방면),,2020-11-24,,,9-1,부곡동,,,
37.48841,129.06998,platform,yes,삼화교(대동.북평방면),,2020-11-24,,,115-1,이로동,,,
37.48834,129.07056,platform,yes,해성주유소(무릉.신흥방면),,2020-11-24,,,110-2,이로동,,,
37.48914,129.06903,platform,yes,삼화동주민센터(대동.북평방면),,2020-11-24,,,118-2,이로동,,,
37.48698,129.06732,platform,yes,삼화시장(무릉방면),,2020-11-24,,,93-1,이로동,,,
37.48725,129.06813,platform,yes,삼화시장(대동.북평방면),,2020-11-24,,,100-3,이로동,,,
37.49318,129.0608,platform,yes,삼흥(비천.신흥방면),,2020-11-24,,,550-3,이로동,,,
37.49307,129.0608,platform,yes,삼흥(대동.북평방면),,2020-11-24,,,558-8,이로동,,,
37.51707,129.02209,platform,yes,삼흥체험학습장(신흥방면),,2020-11-24,,,181-6,신흥동,,,
37.51701,129.022,platform,yes,삼흥체험학습장(대동.북평방면),,2020-11-24,,,180-1,신흥동,,,
37.56812,129.10054,platform,yes,샘터입구(발한.시청방면),,2020-11-24,,,2-8,초구동,,,
37.56807,129.10083,platform,yes,샘터입구(옥계방면),,2020-11-24,,,2-10,초구동,,,
37.59809,129.0798,platform,yes,석두골(발한.시청방면),,2020-11-24,,,426-29,망상동,,,
37.59818,129.07991,platform,yes,석두골(옥계방면),,2020-11-24,,,426-29,망상동,,,
37.48039,129.11448,platform,yes,그린타워(북평.시청방면),,2020-11-24,,,2-2,이도동,,,
37.48047,129.11447,platform,yes,그린타워(대동.무릉방면),,2020-11-24,,,2-2,이도동,,,
37.48066,129.11978,platform,yes,북평구장터(북평.시청방면),,2020-11-24,,,94-3,북평동,,,
37.48089,129.11868,platform,yes,성협아파트(대동.무릉방면),,2020-11-24,,,231-4,북평동,,,
37.52017,129.11154,platform,yes,센트로빌아파트(북평.대동방면),,2020-11-24,,,1040-7,천곡동,,,
37.51998,129.11146,platform,yes,센트로빌아파트(시청.발한방면),,2020-11-24,,,1040-6,천곡동,,,
37.47995,129.1054,platform,yes,소망교회(대동방면),,2020-11-24,,,384,이도동,,,
37.49612,129.05274,platform,yes,소비천(비천.신흥방면),,2020-11-24,,,733-1,이로동,,,
37.49603,129.05269,platform,yes,소비천(대동.북평방면),,2020-11-24,,,733-1,이로동,,,
37.48341,129.06204,platform,yes,소학동(무릉방면),,2020-11-24,,,30-1,삼화동,,,
37.4827,129.06257,platform,yes,소학동(대동.북평방면),,2020-11-24,,,34-21,삼화동,,,
37.56225,129.07535,platform,yes,송전교앞(발한.시청방면),,2020-11-24,,,58-11,만우동,,,
37.56224,129.07527,platform,yes,송전교앞(만우방면),,2020-11-24,,,58-11,만우동,,,
37.50015,129.12573,platform,yes,송정우체국(북평.대동방면),,2020-11-24,,,867-108,송정동,,,
37.49982,129.12597,platform,yes,송정우체국(시청.발한방면),,2020-11-24,,,849-71,송정동,,,
37.49536,129.12299,platform,yes,송정초등학교(북평.추암방면),,2020-11-24,,,1028-111,송정동,,,
37.49446,129.12355,platform,yes,송정초등학교(효가.시청방면),,2020-11-24,,,1065,송정동,,,
37.48541,129.09485,platform,yes,쇄운경로당(대동.북평방면),,2020-11-24,,,313-1,쇄운동,,,
37.48644,129.09536,platform,yes,쇄운동(무릉.신흥방면),,2020-11-24,,,325-1,쇄운동,,,
37.48243,129.09018,platform,yes,쇄운교(무릉.신흥방면),,2020-11-24,,,617-3,쇄운동,,,
37.48239,129.0904,platform,yes,쇄운교(대동.북평방면),,2020-11-24,,,617-5,쇄운동,,,
37.48236,129.08232,platform,yes,쇄운동(대동.북평방면),,2020-11-24,,,690-3,쇄운동,,,
37.48248,129.08177,platform,yes,쇄운주유소앞(무릉.신흥방면),,2020-11-24,,,686-14,쇄운동,,,
37.53909,129.07479,platform,yes,승지골(발한방면),,2020-11-24,,,368-1,부곡동,,,
37.51594,129.10669,platform,yes,주공5차아파트(시청.발한방면),,2020-11-24,,,1005-1,천곡동,,,
37.51622,129.10682,platform,yes,주공5차아파트(북평.삼척방면),,2020-11-24,,,372-4,천곡동,,,
37.48003,129.05381,platform,yes,쌍용양회후문(대동.북평방면),,2020-11-24,,,60-22,삼화동,,,
37.48014,129.0538,platform,yes,쌍용양회후문(무릉방면),,2020-11-24,,,60-10,삼화동,,,
37.52359,129.11466,platform,yes,동해시청앞(북평.대동방면),,2020-11-24,,,847,천곡동,,,
37.52398,129.11485,platform,yes,시청(발한.옥계방면),,2020-11-24,,,847,천곡동,,,
37.52449,129.01465,platform,yes,신흥(신흥종점),,2020-11-24,,,277-9,신흥동,,,
37.52441,129.01461,platform,yes,신흥(대동.북평방면),,2020-11-24,,,294-2,신흥동,,,
37.52362,129.01656,platform,yes,신흥간촌(신흥방면),,2020-11-24,,,244-1,신흥동,,,
37.52353,129.01652,platform,yes,신흥간촌(대동.북평방면),,2020-11-24,,,244-1,신흥동,,,
37.57798,129.08755,platform,yes,심곡(발한.시청방면),,2020-11-24,,,652-1,심곡동,,,
37.57801,129.08748,platform,yes,심곡(만우방면),,2020-11-24,,,652-1,심곡동,,,
37.57671,129.08448,platform,yes,심곡동마을회관앞(발한.시청방면),,2020-11-24,,,207-10,심곡동,,,
37.57676,129.08446,platform,yes,심곡동마을회관앞(만우방면),,2020-11-24,,,207-10,심곡동,,,
37.48467,129.06447,platform,yes,쌍용아파트(무릉방면),,2020-11-24,,,31-3,이로동,,,
37.48469,129.06497,platform,yes,쌍용아파트(대동.북평방면),,2020-11-24,,,29-17,이로동,,,
37.47873,129.05033,platform,yes,쌍용자원개발본사입구(무릉방면),,2020-11-24,,,430-1,삼화동,,,
37.47869,129.05045,platform,yes,쌍용자원개발본사입구(대동.북평방면),,2020-11-24,,,430-1,삼화동,,,
37.4695,129.03637,platform,yes,쌍용자원개발입구(무릉방면),,2020-11-24,,,635-9,삼화동,,,
37.46954,129.03669,platform,yes,쌍용자원개발입구(대동.북평방면),,2020-11-24,,,633-2,삼화동,,,
37.5811,129.08336,platform,yes,약천마을(만우방면),,2020-11-24,,,712,심곡동,,,
37.56153,129.11953,platform,yes,해변으로앞(발한.시청방면),,2020-11-24,,,9-5,어달동,,,
37.56207,129.1198,platform,yes,어달항회센터(대진방면),,2020-11-24,,,9-1,어달동,,,
37.56689,129.11908,platform,yes,어달해수욕장(발한.시청방면),,2020-11-24,,,188-2,어달동,,,
37.56708,129.1191,platform,yes,어달해변(대진방면),,2020-11-24,,,184-22,어달동,,,
37.5319,129.1127,platform,yes,다이소앞(시청.북평방면),,2020-11-24,,,143,평릉동,,,
37.53175,129.11265,platform,yes,엘리시아아파트(발한.망상방면),,2020-11-24,,,142,평릉동,,,
37.48853,129.0977,platform,yes,용산빌라(무릉.신흥방면),,2020-11-24,,,207-8,쇄운동,,,
37.48829,129.09791,platform,yes,용산빌라(대동.북평방면),,2020-11-24,,,197,쇄운동,,,
37.48511,129.01974,platform,yes,석현사(대동.북평방면),,2020-11-24,,,17,이기동,,,
37.4809,129.11246,platform,yes,이도동(북평.시청방면),,2020-11-24,,,726-10,이도동,,,
37.48053,129.11231,platform,yes,이도현대아파트(삼화.무릉방면),,2020-11-24,,,293-19,이도동,,,
37.48055,129.11297,platform,yes,이도사거리(대동.무릉방면),,2020-11-24,,,293-8,이도동,,,
37.47994,129.10415,platform,yes,청운교(대동방면),,2020-11-24,,,383-10,이도동,,,
37.47782,129.10013,platform,yes,금영펌프카(북평.시청방면),,2020-11-24,,,559-1,이도동,,,
37.47786,129.10009,platform,yes,금영펌프카(삼화방면),,2020-11-24,,,559-1,이도동,,,
37.47899,129.12977,platform,yes,구미택지(북평.삼척방면),,2020-11-24,,,594-1,구미동,,,
37.47905,129.13007,platform,yes,구미택지(북평.시청방면),,2020-11-24,,,535-1,구미동,,,
37.57184,129.07522,platform,yes,장밭삼거리(발한.시청방면),,2020-11-24,,,90-9,만우동,,,
37.57183,129.07516,platform,yes,장밭삼거리(만우방면),,2020-11-24,,,90-9,만우동,,,
37.47411,129.11832,platform,yes,단실회관(단봉방면),,2020-11-24,,,596-1,단봉동,,,
37.47428,129.11857,platform,yes,단실회관(추암방면),,2020-11-24,,,574-1,단봉동,,,
37.51432,129.10378,platform,yes,종합운동장(북평.삼척방면),,2020-11-24,,,361-2,천곡동,,,
37.51602,129.10445,platform,yes,주공5차아파트(시청.발한방면),강원도 동해시 천곡동 산98-3,2020-11-24,,,,천곡동,,,
37.47031,129.11549,platform,yes,벽오마을(단봉방면),,2020-11-24,,,512,단봉동,,,
37.47027,129.11562,platform,yes,벽오마을(추암방면),,2020-11-24,,,505,단봉동,,,
37.51968,129.10585,platform,yes,현대아파트(시청.발한방면),,2020-11-24,,,1045-4,천곡동,,,
