위 도,경 도,internet_access,internet_access:fee,internet_access:operator,start_date,addr:full,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
35.242432,128.503016,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 중리상곡로 20-1,(중리백로아파트)",,중리상곡로,20-1,내서읍,,,
35.248649,128.520421,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 함마대로 2805-70,(한주아파트)",,함마대로,2805-70,내서읍,,,
35.250501,128.522138,wlan,no,LGU+,2020-06-01,경상남도 창원시 마산회원구 내서읍 호원로 186 (중리현대아파트),,호원로,186,내서읍,,,
35.258856,128.538291,wlan,no,LGU+,2020-06-01,,,송평로,361,내서읍,,,
35.261238,128.536997,wlan,no,LGU+,2020-06-01,,,송평로,390,내서읍,,,
35.262488,128.53535,wlan,no,LGU+,2020-06-01,,,송평로,411,내서읍,,,
35.252985,128.521441,wlan,no,LGU+,2020-06-01,,,구미길,47,내서읍,,,
35.264466,128.521903,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 호계본동로 38,(호계국제아파트)",,호계본동로,38,내서읍,,,
35.146913,128.705389,wlan,no,LGU+,2020-06-01,,,덕산로51번길,12,,,,
35.163207,128.47434,wlan,no,LGU+,2020-06-01,,,귀정길,14,진북면,,,
35.151187,128.440042,wlan,no,LGU+,2020-06-01,,,학동로,529,진북면,,,
35.156508,128.433987,wlan,no,LGU+,2020-06-01,,,학동로,614,진북면,,,
35.145502,128.450487,wlan,no,LGU+,2020-06-01,,,학동로,403,진북면,,,
35.171179,128.470805,wlan,no,LGU+,2020-06-01,,,중촌길,6-3,진북면,,,
35.126965,128.47348,wlan,no,LGU+,2020-06-01,,,덕곡덕기길,305-1,진북면,,,
35.138898,128.464285,wlan,no,LGU+,2020-06-01,,,부산1길,83,진북면,,,
35.14944,128.481405,wlan,no,LGU+,2020-06-01,,,부평1길,61,진북면,,,
35.13453,128.476674,wlan,no,LGU+,2020-06-01,,,신촌마을길,2,진북면,,,
35.128437,128.446242,wlan,no,LGU+,2020-06-01,,,의림로,244,진북면,,,
35.17479,128.468496,wlan,no,LGU+,2020-06-01,,,대현길,9,진북면,,,
35.172093,128.462279,wlan,no,LGU+,2020-06-01,,,정삼길,158,진북면,,,
35.167959,128.489996,wlan,no,LGU+,2020-06-01,,,내추길,5,진북면,,,
35.156714,128.478731,wlan,no,LGU+,2020-06-01,,,추곡1길,94,진북면,,,
35.108201,128.448649,wlan,no,LGU+,2020-06-01,,,진전신기길,5,진전면,,,
35.191983,128.38948,wlan,no,LGU+,2020-06-01,경상남도 창원시 마산합포구 진전면 여양리 426-1,,,426-1,진전면,,,
35.122789,128.452529,wlan,no,LGU+,2020-06-01,,,동삼길,82,진북면,,,
35.115948,128.483352,wlan,no,LGU+,2020-06-01,,,신서촌로,15,진동면,,,
35.252855,128.647788,wlan,no,LGU+,2020-06-01,,,서곡길,15,,,,
35.267054,128.618129,wlan,no,LGU+,2020-06-01,,,천주로56번길,14,,,,
35.332433,128.707762,wlan,no,LGU+,2020-06-01,,,진산대로355번길,20,대산면,,,
35.348484,128.607178,wlan,no,LGU+,2020-06-01,,,천주로,1093-4,북면,,,
35.22298,128.50345,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 광려로 29,(삼계대동이미지2차아파트)",,광려로,29,내서읍,,,
35.229611,128.502418,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 삼계5길 30,(삼계대동아파트)",,삼계5길,30,내서읍,,,
35.229705,128.506678,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 광려천남로 267,(원계대동다숲아파트)",,광려천남로,267,내서읍,,,
35.232408,128.506032,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 광려천남로 245,(한일유앤아이오르젠아파트)",,광려천남로,245,내서읍,,,
35.255035,128.519174,wlan,no,LGU+,2020-06-01,경상남도 창원시 마산회원구 내서읍 광려천북로 58(성우아파트),,광려천북로,58,내서읍,,,
