위도,경도,업종명,업소명,addr:full,소재지(지번),데이터기준일자
33.4505144,126.9144273,휴게음식점,세븐일레븐 고성점,제주특별자치도 서귀포시 성산읍 고성동서로 66,제주특별자치도 서귀포시 성산읍 고성리 1196번지 2호 ,2018-02-23
33.2835671,126.7051642,휴게음식점,남원휴게소,제주특별자치도 서귀포시 남원읍 일주동로 7224,제주특별자치도 서귀포시 남원읍 남원리 1499번지 8호 ,2018-02-23
33.2402708,126.2507128,휴게음식점,씨유서귀일과수로점,제주특별자치도 서귀포시 대정읍 일주서로 2817,제주특별자치도 서귀포시 대정읍 일과리 1114번지 ,2018-02-23
33.3245683,126.6627718,휴게음식점,머체왓숲길영농조합법인,제주특별자치도 서귀포시 남원읍 서성로 755,제주특별자치도 서귀포시 남원읍 한남리 1622번지 3호 ,2018-02-23
33.3835243,126.8413634,휴게음식점,산지물마을까페,제주특별자치도 서귀포시 중산간동로 7971 (동홍동),제주특별자치도 서귀포시 동홍동 1288번지 2호 ,2018-02-23
33.4721117,126.9331983,휴게음식점,제주몬순커피,제주특별자치도 서귀포시 성산읍 성산등용로 130-19,제주특별자치도 서귀포시 성산읍 성산리 347번지 9호 ,2018-02-23
33.2139586,126.2573973,휴게음식점,지에스25서귀운진항점,제주특별자치도 서귀포시 대정읍 최남단해안로125번길 35 1층,제주특별자치도 서귀포시 대정읍 하모리 557번지 1호 ,2018-02-23
33.2541205,126.560076,휴게음식점,지에스25서귀혁신점,제주특별자치도 서귀포시 대청로 33 101호 (강정동 오름강정웨스트상가),제주특별자치도 서귀포시 강정동 208번지 4호 오름강정웨스트상가 101호,2018-02-23
33.3067321,126.7828911,휴게음식점,매일더탐나,제주특별자치도 서귀포시 표선면 일주동로6455번길 9 1층,제주특별자치도 서귀포시 표선면 토산리 426번지 6호 ,2018-02-23
33.3270768,126.8348562,휴게음식점,용용다방,제주특별자치도 서귀포시 표선면 표선동서로 264 2층,제주특별자치도 서귀포시 표선면 표선리 592번지 ,2018-02-23
33.3873938,126.8010884,휴게음식점,툇마루커피,제주특별자치도 서귀포시 표선면 성읍정의현로 53,제주특별자치도 서귀포시 표선면 성읍리 813번지 4호 ,2018-02-23
33.2492088,126.5639079,휴게음식점,하영꼬치,제주특별자치도 서귀포시 중정로73번길 13 (서귀동),제주특별자치도 서귀포시 서귀동 275번지 37호 ,2018-02-23
33.222978,126.2582595,휴게음식점,더달,제주특별자치도 서귀포시 대정읍 상모로 289,제주특별자치도 서귀포시 대정읍 상모리 3975번지 2호 ,2018-02-23
33.3066927,126.3380858,휴게음식점,지에스25동광로터리점,제주특별자치도 서귀포시 안덕면 신화역사로 493,제주특별자치도 서귀포시 안덕면 동광리 825번지 ,2018-02-23
33.3299649,126.838304,휴게음식점,카페희상,제주특별자치도 서귀포시 표선면 표선동서로 324-18,제주특별자치도 서귀포시 표선면 표선리 441번지 ,2018-02-23
33.2687657,126.5857876,휴게음식점,씨유제주516도로점,제주특별자치도 서귀포시 516로 176 1층 (토평동),제주특별자치도 서귀포시 토평동 2225번지 ,2018-02-23
33.2729636,126.7014772,휴게음식점,세렌딥,제주특별자치도 서귀포시 남원읍 태위로 522-12 1층,제주특별자치도 서귀포시 남원읍 남원리 2384번지 1호 ,2018-02-23
33.2116302,126.2571631,휴게음식점,씨유서귀최남단해안로점,제주특별자치도 서귀포시 대정읍 최남단해안로125번길 3 1층,제주특별자치도 서귀포시 대정읍 하모리 645번지 17호 ,2018-02-23
33.2474816,126.5641679,휴게음식점,쥬씨올레시장점,제주특별자치도 서귀포시 명동로 19-1 1층 (서귀동),제주특별자치도 서귀포시 서귀동 417번지 2호 ,2018-02-23
33.4623995,126.9309558,휴게음식점,성산썬라이즈호텔카페,제주특별자치도 서귀포시 성산읍 성산등용로17번길 35 1층,제주특별자치도 서귀포시 성산읍 성산리 169번지 16호 ,2018-02-23
33.246516,126.5641733,휴게음식점,지에스25이중섭거리점,제주특별자치도 서귀포시 이중섭로 16 (서귀동),제주특별자치도 서귀포시 서귀동 417번지 19호 ,2018-02-23
