업종명,업소명,소재지(도로명),소재지(지번),위도,경도,데이터기준일자
제과점영업,(주)신세계푸드이-베이커리서귀포점,제주특별자치도 서귀포시 일주동로 9209 (법환동),제주특별자치도 서귀포시 법환동 841번지 2호 ,33.2484335,126.5092187,2018-02-23
제과점영업,효돈농협하나로베이커리,제주특별자치도 서귀포시 하신상로 1 (하효동),제주특별자치도 서귀포시 하효동 639번지 ,33.2609942,126.6172426,2018-02-23
제과점영업,중앙베이커리,제주특별자치도 서귀포시 대정읍 최남단해안로 13,제주특별자치도 서귀포시 대정읍 하모리 2143번지 3호 ,33.2195093,126.2525008,2018-02-23
제과점영업,맛짱먹거리,제주특별자치도 서귀포시 중정로73번길 1 (서귀동),제주특별자치도 서귀포시 서귀동 274번지 17호 ,33.2483036,126.5640665,2018-02-23
제과점영업,파리바게뜨 서귀포1호 광장점,제주특별자치도 서귀포시 중앙로 91 (서귀동),제주특별자치도 서귀포시 서귀동 301번지 25호 ,33.252717,126.5604842,2018-02-23
제과점영업,제주국제컨벤선센터 베이커리,제주특별자치도 서귀포시 중문관광로 224 (중문동),제주특별자치도 서귀포시 중문동 2700번지 ,33.2413649,126.4245153,2018-02-23
제과점영업,뚜레쥬르서귀포점,제주특별자치도 서귀포시 중정로 56-1 (서귀동),제주특별자치도 서귀포시 서귀동 423번지 6호 ,33.2475384,126.5625338,2018-02-23
제과점영업,풍차베이커리,제주특별자치도 서귀포시 안덕면 화순로 122,제주특별자치도 서귀포시 안덕면 화순리 1089번지 1호 ,33.2465809,126.333321,2018-02-23
제과점영업,플러스마트2호점베이커리,제주특별자치도 서귀포시 동홍중앙로 2 (동홍동),제주특별자치도 서귀포시 동홍동 175번지 1호 ,33.2511667,126.5726439,2018-02-23
제과점영업,파리바게뜨대정점,제주특별자치도 서귀포시 대정읍 상모로 326,제주특별자치도 서귀포시 대정읍 하모리 820번지 16호 ,33.2223125,126.2547019,2018-02-23
제과점영업,나드리빵집,제주특별자치도 서귀포시 동홍중앙로 77 (동홍동),제주특별자치도 서귀포시 동홍동 93번지 2호 ,33.2576277,126.5718713,2018-02-23
제과점영업,옥이네 빵집,제주특별자치도 서귀포시 남원읍 태위로 662,제주특별자치도 서귀포시 남원읍 남원리 113번지 7호 ,33.2785051,126.7176468,2018-02-23
제과점영업,성산일출봉농업협동조합,제주특별자치도 서귀포시 성산읍 일주동로 4282,제주특별자치도 서귀포시 성산읍 고성리 1106번지 3호 ,33.4143696,126.8999778,2018-02-23
제과점영업,파리바게뜨제주표선점,제주특별자치도 서귀포시 표선면 표선중앙로 89,제주특별자치도 서귀포시 표선면 표선리 624번지 2호 ,33.3258943,126.8336204,2018-02-23
제과점영업,휘닉스제과,제주특별자치도 서귀포시 성산읍 섭지코지로 107,제주특별자치도 서귀포시 성산읍 고성리 127번지 2호 ,33.4305782,126.9277688,2018-02-23
제과점영업,민트베이커리,제주특별자치도 서귀포시 성산읍 섭지코지로 107,제주특별자치도 서귀포시 성산읍 고성리 127번지 2호 (휘닉스아일랜드 글라스 하우스 2층) ,33.4305782,126.9277688,2018-02-23
제과점영업,섭지베이커리,제주특별자치도 서귀포시 성산읍 섭지코지로 107,제주특별자치도 서귀포시 성산읍 고성리 127번지 2호 ,33.4305782,126.9277688,2018-02-23
제과점영업,플러스제과점3호점,제주특별자치도 서귀포시 명동로 14 (서귀동),제주특별자치도 서귀포시 서귀동 418번지 20호 (킹마트내) ,33.246956,126.5634715,2018-02-23
