위도,경도,업종명,업소명,addr:full,소재지(지번),데이터기준일자,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.2307364,126.2969631,일반음식점,쿠쿠루쿠쿠,,제주특별자치도 서귀포시 안덕면 사계리 2657번지 2호 ,2018-02-23,,사계중앙로18번길,5,안덕면,,,
33.2572632,126.5738737,일반음식점,골드스푼,,제주특별자치도 서귀포시 강정동 208번지 1호 3층 303호,2018-02-23,,대청로25번길,4,강정동,,3,303
33.2749246,126.6597614,일반음식점,이듸완,,제주특별자치도 서귀포시 남원읍 위미리 2869번지 4호 ,2018-02-23,,태위로115번길,1,남원읍,,,
33.3105683,126.8137875,일반음식점,옛고을흑돼지구이,,제주특별자치도 서귀포시 표선면 세화리 135번지 1호 ,2018-02-23,,민속해안로97번길,35,표선면,,,
33.4268965,126.8647243,일반음식점,어니스트밀크,,제주특별자치도 서귀포시 성산읍 수산리 3272번지 9호 A동 ,2018-02-23,,서성일로,621,성산읍,A,,
33.4777761,126.9091132,일반음식점,로컬크랩샵투,,제주특별자치도 서귀포시 성산읍 시흥리 10번지 1층 ,2018-02-23,,해맞이해안로,2614,성산읍,,1,
33.2515419,126.5577736,일반음식점,이모네식당,,제주특별자치도 서귀포시 서귀동 304번지 11호 ,2018-02-23,,서문서로,55,서귀동,,,
33.2500319,126.5676608,일반음식점,인생역전,,제주특별자치도 서귀포시 서귀동 254번지 1호 1층 ,2018-02-23,,동홍로,15,서귀동,,1,
33.2761837,126.2571383,일반음식점,구억불사나이,,제주특별자치도 서귀포시 대정읍 구억리 832번지 6호 ,2018-02-23,,중산간서로,2275,대정읍,,1,
33.4177255,126.8426004,일반음식점,전주고을해물순두부,,제주특별자치도 서귀포시 성산읍 난산리 2608번지 1호 ,2018-02-23,,서성일로,506-15,성산읍,,1,
33.2707813,126.2784527,일반음식점,스모크하우스인구억,,제주특별자치도 서귀포시 대정읍 보성리 465번지 15호 ,2018-02-23,,보성구억로,223,대정읍,,,
33.3456001,126.7895359,일반음식점,오가네숯불갈비,,제주특별자치도 서귀포시 표선면 가시리 2094번지 3호 ,2018-02-23,,가시로,537,표선면,,,
33.3849016,126.79391,일반음식점,제주술익는집,,제주특별자치도 서귀포시 표선면 성읍리 1410번지 1호 ,2018-02-23,,중산간동로,4726,표선면,,,
33.2560405,126.4840324,일반음식점,마시레흑돈,,제주특별자치도 서귀포시 강정동 3933번지 4호 ,2018-02-23,,용흥로38번길,49-1,강정동,,,
33.2457762,126.5850507,일반음식점,검은여마당넓은집,,제주특별자치도 서귀포시 토평동 445번지 1호 ,2018-02-23,,칠십리로,310-24,토평동,,,
33.2523487,126.5085052,일반음식점,로즈메리,,제주특별자치도 서귀포시 강정동 162번지 1호 1층 근103호,2018-02-23,,신중남로,17,강정동,,1,근103
33.4375501,126.9203422,일반음식점,황금전복,,제주특별자치도 서귀포시 성산읍 고성리 531번지 ,2018-02-23,,섭지코지로26번길,6,성산읍,,,
33.240469,126.493008,일반음식점,까페디망슈,,제주특별자치도 서귀포시 강정동 855번지 1호 ,2018-02-23,,이어도로,777,강정동,,-1,
33.2382939,126.5128906,일반음식점,삼삼오스낵,,제주특별자치도 서귀포시 법환동 335번지 ,2018-02-23,,법환로38번길,7,법환동,,,
33.2562006,126.3351463,일반음식점,안덕식당,,제주특별자치도 서귀포시 안덕면 감산리 354번지 1호 1층 ,2018-02-23,,일주서로,1499,안덕면,,1,
33.2431582,126.5641517,일반음식점,솔똥사거리,,제주특별자치도 서귀포시 서귀동 625번지 5호 ,2018-02-23,,솔동산로11번길,8-18,서귀동,,,
33.2574407,126.5744317,일반음식점,한옥집돈삼겹,,제주특별자치도 서귀포시 강정동 207번지 15호 1층 ,2018-02-23,,대청로25번길,6-5,강정동,,1,
33.2660543,126.3707591,일반음식점,광식스장작구이,,제주특별자치도 서귀포시 안덕면 창천리 153번지 6호 1층 ,2018-02-23,,한창로,11,안덕면,,1,
33.2754452,126.7041014,일반음식점,남원순대국,,제주특별자치도 서귀포시 남원읍 남원리 2358번지 9호 ,2018-02-23,,태위로,535,남원읍,,,
33.277628,126.7139059,일반음식점,현주네,,제주특별자치도 서귀포시 남원읍 남원리 1364번지 ,2018-02-23,,태위로,628,남원읍,,1,
33.2479601,126.5670369,일반음식점,쌍둥이네제주토속잔치국수,,제주특별자치도 서귀포시 서귀동 204번지 28호 ,2018-02-23,,명동로,47,서귀동,,,
33.2495307,126.5643072,일반음식점,배달삼겹돼지되리,,제주특별자치도 서귀포시 서귀동 271번지 16호 2층 ,2018-02-23,,중앙로48번길,25,서귀동,,2,
33.2429071,126.3784728,일반음식점,어썸,,제주특별자치도 서귀포시 상예동 584번지 2호 ,2018-02-23,,예래로,31,상예동,,,
33.2798179,126.2737676,일반음식점,안다래,,제주특별자치도 서귀포시 대정읍 보성리 161번지 1층 ,2018-02-23,,영어도시로,77-5,대정읍,,1,
33.2558023,126.424121,일반음식점,팁시테이블,제주특별자치도 서귀포시 대청로 41 1층 104호 (강정동 블루빌딩),제주특별자치도 서귀포시 강정동 208번지 8호 블르빌딩 1층 104호,2018-02-23,,대청로,41,강정동,,1,104
33.2258732,126.2544166,일반음식점,보스코,,제주특별자치도 서귀포시 대정읍 하모리 1567번지 7호  2층 ,2018-02-23,,동일하모로,217,대정읍,,2,
33.4777761,126.9091132,일반음식점,로컬크랩2호점,,제주특별자치도 서귀포시 성산읍 시흥리 10번지 2층 ,2018-02-23,,해맞이해안로,2614,성산읍,,2,
33.2242263,126.2513525,일반음식점,대정족발,,제주특별자치도 서귀포시 대정읍 하모리 1497번지 4호 ,2018-02-23,,하모중앙로,46,대정읍,,,
33.3247649,126.8331191,일반음식점,동가,제주특별자치도 서귀포시 표선면 표선동서로 138 다동,제주특별자치도 서귀포시 표선면 표선리 1466번지 2호 다동 ,2018-02-23,,표선동서로,138,표선면,다동,,
33.3247649,126.8331191,일반음식점,소나무카페,제주특별자치도 서귀포시 표선면 표선동서로 138 제2동 1층,제주특별자치도 서귀포시 표선면 표선리 1466번지 2호 ,2018-02-23,,표선동서로,138,표선면,제2동,1,
33.2268151,126.2522254,일반음식점,산방흑돼지순대영어교육도시점,,제주특별자치도 서귀포시 대정읍 보성리 2476번지 10호 B동 106호,2018-02-23,,글로벌에듀로,390,대정읍,B,,106
33.291839,126.284336,일반음식점,올라타코,,제주특별자치도 서귀포시 대정읍 보성리 2476번지 10호 A동 111호,2018-02-23,,글로벌에듀로,390,대정읍,A,,111
33.2903783,126.3538589,일반음식점,제주갈치맛요리요,제주특별자치도 서귀포시 안덕면 한창로 602 가동 1층,제주특별자치도 서귀포시 안덕면 동광리 853번지 1층 가동 ,2018-02-23,,한창로,602,안덕면,가동,1,
33.2496051,126.3022928,일반음식점,국수1번가,,제주특별자치도 서귀포시 안덕면 사계리 758번지 3호 A동 ,2018-02-23,,사계로,223,안덕면,A,,
33.4529797,126.9140449,일반음식점,필바든치킨,,제주특별자치도 서귀포시 성산읍 고성리 1207번지 2호 2층 ,2018-02-23,,고성오조로,106,성산읍,,2,
33.448763,126.9176833,일반음식점,대식가,,제주특별자치도 서귀포시 성산읍 고성리 297번지 6호 ,2018-02-23,,동류암로,22,성산읍,,,
33.2178071,126.2521152,일반음식점,통통,,제주특별자치도 서귀포시 대정읍 하모리 2129번지 1호 1층 ,2018-02-23,,최남단해안로30번길,11,대정읍,,1,
33.25639,126.4151672,일반음식점,제주푸드트립,제주특별자치도 서귀포시 중문관광로 17 시내루동 1층 (색달동),제주특별자치도 서귀포시 색달동 2512번지 그랑빌 1층 시내루동 ,2018-02-23,,중문관광로,17,시내루동,색달동,1,
33.3073454,126.317985,일반음식점,카페 디 아일렛(Cafe The Islet),,제주특별자치도 서귀포시 안덕면 서광리 산 24번지  4층 ,2018-02-23,,신화역사로304번길,38,안덕면,,4,
33.3073454,126.317985,일반음식점,랜딩라운지(Landing Lounge),,제주특별자치도 서귀포시 안덕면 서광리 산 24번지  지하1층 ,2018-02-23,,신화역사로304번길,38,안덕면,,-1,
33.3073454,126.317985,일반음식점,디 아일렛 라운지(The Islet Lounge),,제주특별자치도 서귀포시 안덕면 서광리 산 24번지  1층 ,2018-02-23,,신화역사로304번길,38,안덕면,,1,
33.3073454,126.317985,일반음식점,풀사이드 카페(Poolside Cafe),,제주특별자치도 서귀포시 안덕면 서광리 산 24번지  1층 ,2018-02-23,,신화역사로304번길,38,안덕면,,1,
33.3073454,126.317985,일반음식점,랜딩 다이닝(Landing Dining),제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 지하 1 2층,제주특별자치도 서귀포시 안덕면 서광리 산 24번지  지하1 2층 ,2018-02-23,,신화역사로304번길,1,안덕면,,2,
33.273191,126.3947296,일반음식점,국군복지단서귀포호텔식당,,제주특별자치도 서귀포시 상예동 161번지 서귀포호텔 1층 ,2018-02-23,,상예로,319,상예동,,1,
33.2541205,126.560076,일반음식점,소풍,제주특별자치도 서귀포시 대청로 11 101호 (강정동 서귀포강정골드클래스),제주특별자치도 서귀포시 강정동 193번지 서귀포강정골드클래스 101호,2018-02-23,,대청로,11,강정동,,,101
33.2650156,126.6150778,일반음식점,루프탑,,제주특별자치도 서귀포시 서귀동 473번지 1호 ,2018-02-23,,중앙로4번길,11,서귀동,,1,
33.4479486,126.9162124,일반음식점,골든튤립제주성산호텔식당,제주특별자치도 서귀포시 성산읍 일출로 31 1층 (골든튤립제주성산호텔),제주특별자치도 서귀포시 성산읍 고성리 329번지 1호 골든튤립제주성산호텔 1층 ,2018-02-23,,일출로,31,성산읍,,1,
33.2923161,126.2996588,일반음식점,산드레,,제주특별자치도 서귀포시 안덕면 서광리 1224번지 54호 ,2018-02-23,,녹차분재로,193,안덕면,,,
33.2907712,126.2737952,일반음식점,별에서온식당,,제주특별자치도 서귀포시 대정읍 보성리 2475번지 ,2018-02-23,,,,,,,
33.3066927,126.3380858,일반음식점,삼거리푸줏간제주신화월드점,,제주특별자치도 서귀포시 안덕면 서광리 산 35번지 16호 ,2018-02-23,,신화역사로304번길,98,안덕면,,,
33.3066927,126.3380858,일반음식점,쓰리버즈제주신화월드점,,제주특별자치도 서귀포시 안덕면 서광리 산 35번지 16호 F002동 ,2018-02-23,,신화역사로304번길,98,안덕면,,,
33.3066927,126.3380858,일반음식점,삼거리수산 제주신화월드점,,제주특별자치도 서귀포시 안덕면 서광리 산 35번지 16호 F003동 ,2018-02-23,,신화역사로304번길,98,안덕면,,,
33.3066927,126.3380858,일반음식점,언타이틀드 2017카페 제주신화월드점,,제주특별자치도 서귀포시 안덕면 서광리 산 35번지 16호 F006동 ,2018-02-23,,신화역사로304번길,98,안덕면,,,
