위도,경도,amenity,name,addr:full
37.44120214,127.1470782,bar,7080야간대학,"경기도 성남시 수정구 수정로 176-1, 지층 (신흥동)"
37.44083693,127.1340074,bar,짱 단란주점,"경기도 성남시 수정구 수정로120번길 7 (수진동,(지상 2층))"
37.44132128,127.146105,bar,추억의 LIVE(라이브),"경기도 성남시 수정구 산성대로265번길 7, 2층 (신흥동)"
37.44299883,127.1400964,bar,비트 단란주점,"경기도 성남시 수정구 수정로180번길 3, 지층 (신흥동)"
37.43941969,127.1287463,bar,아모르파티라이브7080,"경기도 성남시 수정구 수정로74번길 6 (수진동,2층)"
37.44352118,127.1412996,bar,세시봉7080,"경기도 성남시 수정구 수정로 192, 지1층 (신흥동)"
37.44019609,127.1301725,bar,노래하는 호박마차,"경기도 성남시 수정구 수정로 88, 지1층 (수진동)"
37.44351648,127.1394124,bar,발리라이브,경기도 성남시 수정구 수정로 175-1 (태평동)
37.44021779,127.1319013,bar,청월노래빵,경기도 성남시 수정구 제일로 153 (수진동)
37.41409519,127.1220579,bar,써니노래빵,경기도 성남시 수정구 수정로 136-4 (수진동)
37.43817162,127.1404453,bar,허브 노래빵,"경기도 성남시 수정구 탄리로 8, 2층 (신흥동)"
37.4385429,127.1283722,bar,몽몽 라이브,"경기도 성남시 수정구 성남대로 1218, 2층 (수진동)"
37.44065227,127.1333992,bar,춘자노래빵,"경기도 성남시 수정구 수정남로 51, 지층 (수진동)"
37.44105036,127.1336207,bar,연길노래주점,"경기도 성남시 수정구 수정로120번길 4, 2층 (수진동)"
37.44073376,127.132223,bar,홍왕노래빠,"경기도 성남시 수정구 수정로 106, 2층 205호 (수진동)"
37.43846781,127.1415268,bar,청춘7080라이브,"경기도 성남시 수정구 산성대로215번길 3, 관서형빌딩 2층 일부호 (신흥동)"
37.4404961,127.1317624,bar,제호노래빵,"경기도 성남시 수정구 제일로 157, 지하1층 일부호 (수진동)"
37.44037518,127.1324758,bar,목터져 노래빠,"경기도 성남시 수정구 수정남로 41, 2층 일부호 (수진동)"
37.440545,127.14466,bar,뮤지션,"경기도 성남시 수정구 산성대로249번길 5, 2층 (신흥동)"
37.44368729,127.1418402,bar,한잔해라이브,"경기도 성남시 수정구 수정로 198, 2층 일부호 (신흥동)"
37.43966611,127.1468306,bar,아지트,"경기도 성남시 중원구 산성대로 260-15, 지,1층 (중앙동)"
37.43930802,127.1449541,bar,낮과밤 스탠드바,"경기도 성남시 중원구 시민로 122, 2층 (중앙동)"
37.43968524,127.1459379,bar,해금강,경기도 성남시 중원구 산성대로 254-7 (중앙동)
37.43981067,127.1465144,bar,타임,경기도 성남시 중원구 산성대로260번길 5 (중앙동)
37.43990987,127.1464355,bar,산수정,경기도 성남시 중원구 산성대로260번길 3-1 (중앙동)
37.43954932,127.1465591,bar,초코,"경기도 성남시 중원구 산성대로260번길 10, 지,1층 (중앙동)"
37.43304546,127.1322442,bar,레몬노래밤,"경기도 성남시 중원구 성남대로1148번길 27, 지층 (성남동)"
37.43344828,127.1301539,bar,보물섬,"경기도 성남시 중원구 산성대로 98-1, 지층 (성남동)"
37.43945048,127.1463329,bar,행주치마,"경기도 성남시 중원구 산성대로 256-13, 지,1층 (중앙동)"
37.43330888,127.1307366,bar,마징가,"경기도 성남시 중원구 광명로 15, 2,3층 (성남동)"
37.43546339,127.1582973,bar,초이스 노래주점,"경기도 성남시 중원구 희망로 332-1, 지층 (상대원동)"
37.44166528,127.1522445,bar,또또스텐드바,"경기도 성남시 중원구 광명로 229, 지층 (중앙동)"
37.43160624,127.1284259,bar,루비,"경기도 성남시 중원구 성남대로1139번길 6, 지층 (성남동)"
37.44088865,127.1504474,bar,둥지스텐드바,경기도 성남시 중원구 광명로 211 (중앙동)
37.43359968,127.1321585,bar,행복노래빵,"경기도 성남시 중원구 광명로 27, 지층 (성남동)"
37.43290806,127.1305373,bar,귀족클럽,"경기도 성남시 중원구 광명로 12, 지층 (성남동)"
37.43072824,127.1297998,bar,룸노래 엘리스,"경기도 성남시 중원구 성남대로1130번길 3, 지층 (성남동)"
37.43279181,127.1309599,bar,샤론,"경기도 성남시 중원구 광명로16번길 6, 3층 (성남동)"
37.43434402,127.1358042,bar,아랑궁,경기도 성남시 중원구 광명로 61 (성남동)
37.43282535,127.1301278,bar,폭스,경기도 성남시 중원구 광명로 8 (성남동)
37.43272249,127.1294398,bar,링코노래타운 모란점,"경기도 성남시 중원구 광명로 2, 지층 (성남동)"
37.43323303,127.132105,bar,똥광2 노래바,"경기도 성남시 중원구 광명로 26, 1층 (성남동)"
37.44113322,127.1511306,bar,중동포장마차,"경기도 성남시 중원구 광명로 219-4, 지층 (중앙동)"
37.43978858,127.1473962,bar,백야,"경기도 성남시 중원구 광명로 179-6, 지,1층 (중앙동)"
37.43350444,127.1316752,bar,파티,"경기도 성남시 중원구 광명로 23, 지층 (성남동)"
37.43985989,127.1463427,bar,풍차,"경기도 성남시 중원구 산성대로260번길 6, 지,1층 (중앙동)"
37.43261867,127.1293801,bar,샵,"경기도 성남시 중원구 성남대로 1152, 지하1층 (성남동)"
37.44032783,127.1472559,bar,블랙앤화이트,"경기도 성남시 중원구 산성대로 270, 지층 (중앙동, 대명프라자)"
37.43536415,127.1392928,bar,노래타운,"경기도 성남시 중원구 광명로 93, 2층 (성남동)"
37.43240753,127.1283277,bar,와이(Y) 노래빠,"경기도 성남시 중원구 성남대로1151번길 5, 지1층 (성남동)"
37.44009344,127.1464125,bar,첼로,"경기도 성남시 중원구 산성대로 260-1, 지층 (중앙동)"
37.43263992,127.1302873,bar,가파치,"경기도 성남시 중원구 성남대로1148번길 9, 지1층 (성남동)"
37.43977004,127.1461437,bar,한국관,"경기도 성남시 중원구 산성대로 256-7, 지,1층 (중앙동)"
37.43956704,127.1470133,bar,모래시계,"경기도 성남시 중원구 광명로 175-5, 1층 (중앙동)"
37.43357932,127.130783,bar,야시노래빵,"경기도 성남시 중원구 산성대로 104, 지층 (성남동)"
37.43919956,127.1465466,bar,투모로우 노래빠,"경기도 성남시 중원구 광명로 171, 2층 (중앙동)"
