위도,경도,데이터기준일자,highway,support,light_method,light:lit,light:shape,light:tilt
37.4699863,126.6218873,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4697657,126.622287,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4715579,126.6191227,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4717434,126.6188028,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4718935,126.61854,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4720612,126.618243,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4722465,126.6179117,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4724759,126.6174892,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4726878,126.6171236,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4729174,126.6167237,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4730673,126.6164383,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.47328,126.6161404,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4735116,126.61591,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4708324,126.6210352,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4706467,126.6213439,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4704525,126.6216866,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4702407,126.6220635,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4699402,126.6225664,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4696659,126.623001,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.469876,126.6232459,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4710087,126.6207042,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.471247,126.6202815,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.471512,126.6198244,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4747297,126.6175947,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4742365,126.617796,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4738419,126.6179615,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4737173,126.6173194,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4736589,126.6177162,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4738097,126.6167411,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4738767,126.6163103,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4714686,126.6215097,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4716979,126.6210872,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4721305,126.6203218,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4720069,126.6205389,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4715921,126.6212813,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.472245,126.6200936,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4723864,126.6198536,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4713362,126.6217495,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4711685,126.6220465,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4710539,126.6222634,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4708595,126.6225948,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4707449,126.6228117,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4705772,126.6231087,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4704007,126.6234284,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4701858,126.6235454,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4736657,126.6183039,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4739437,126.6181857,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4741948,126.6180907,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4744818,126.6179723,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4747777,126.6178538,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4751633,126.6176885,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4733959,126.6214291,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.473246,126.6217145,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4731407,126.6219538,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4729994,126.6222051,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4728673,126.6224675,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.473349,126.6212717,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4736516,126.6209496,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4735013,126.621201,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4733923,126.6211239,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4737659,126.6207101,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4738891,126.6204591,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4740212,126.6201966,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4731778,126.6220436,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4730637,126.6223057,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4729403,126.6225453,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4733281,126.6218034,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.473628,126.6212439,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4738386,126.6207653,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4739617,126.620503,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4740939,126.6202518,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4727649,126.6229555,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4725887,126.6232979,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4723505,126.6237319,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4719621,126.6244286,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4718214,126.6247251,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.471859,126.6248601,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
