지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,도로구간번호,공사번호,보수종류,보수공종,연장,면적,폭원,차도포장재질,보도포장재질,이전차도포장재질,이전보도포장재질,대장초기화여부,구분ID,경도,위도
차도포장,160003,도천동,348021912B,통영시,160031,RD20170001,신설,미분류,218.4,2252.31,10,아스팔트콘크리트,미분류,미분류,미분류,1,82,128.4086787,34.84338534
차도포장,160004,명정동,348021483B,통영시,160017,RD20170001,신설,미분류,90.75,4860.29,27,아스팔트콘크리트,미분류,미분류,미분류,1,83,128.4143929,34.85863358
차도포장,160005,명정동,348021484A,통영시,160019,RD20170001,신설,미분류,21.15,2639.38,23,아스팔트콘크리트,미분류,미분류,미분류,1,84,128.4155995,34.85872559
차도포장,160006,도천동,348021902D,통영시,160047,RD20170001,신설,미분류,6.63,69.2,10,아스팔트콘크리트,미분류,미분류,미분류,1,85,128.4079217,34.84619856
차도포장,160007,명정동,348021483B,통영시,160022,RD20170001,신설,미분류,14.27,1949.73,14,아스팔트콘크리트,미분류,미분류,미분류,1,86,128.4132812,34.85889839
차도포장,160008,명정동,348021484A,통영시,160018,RD20170001,신설,미분류,9.6,508.31,26,아스팔트콘크리트,미분류,미분류,미분류,1,87,128.4163357,34.85869765
차도포장,160009,명정동,348021484A,통영시,160021,RD20170001,신설,미분류,94.96,1701.2,18,아스팔트콘크리트,미분류,미분류,미분류,1,88,128.4169374,34.85869327
차도포장,160010,명정동,348021483D,통영시,160043,RD20170001,신설,미분류,168.3,4129.76,26,아스팔트콘크리트,미분류,미분류,미분류,1,89,128.4140962,34.85747401
차도포장,160011,명정동,348021483D,통영시,160042,RD20170001,신설,미분류,313.5,5885.38,19,아스팔트콘크리트,미분류,미분류,미분류,1,90,128.4135573,34.85532989
차도포장,160012,명정동,348021493B,통영시,160041,RD20170001,신설,미분류,69.37,1523.17,22,아스팔트콘크리트,미분류,미분류,미분류,1,91,128.4126281,34.85380327
차도포장,160013,명정동,348021493A,통영시,160051,RD20170001,신설,미분류,18.94,5705.56,19,아스팔트콘크리트,미분류,미분류,미분류,1,92,128.4111722,34.8526302
차도포장,160014,명정동,348021902B,통영시,160048,RD20170001,신설,미분류,648.5,6661.04,10,아스팔트콘크리트,미분류,미분류,미분류,1,93,128.4086127,34.8490765
