위도,경도,amenity,name,addr:full,source,source:date,shop,branch,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door,addr:housename
33.3056347,126.7921182,restaurant,옵데강,,공공데이터포털,2018-02-23,,,,일주동로,6347-17,표선면,,,,
33.4721117,126.9331983,restaurant,쉼터만나스넥,,공공데이터포털,2018-02-23,,,,성산등용로,112-7,성산읍,,,,
33.2480796,126.566302,restaurant,고망식당,,공공데이터포털,2018-02-23,,,,태평로431번길,26,서귀동,,,,
33.2570821,126.5758691,restaurant,김밥천국,,공공데이터포털,2018-02-23,,,,동홍남로,69,동홍동,,,,
33.2644535,126.3933033,,세븐일레븐 서귀포스카이힐점,,공공데이터포털,2018-02-23,convenience,,,일주서로,1124,상예동,,,,
33.2474277,126.5659049,cafe,황제다방,,공공데이터포털,2018-02-23,,,,명동로,38,서귀동,,2,,
33.2493324,126.4083941,restaurant,스위트호텔 코코모,,공공데이터포털,2018-02-23,,,,중문관광로72번길,67,색달동,,,,
33.2392231,126.5586562,restaurant,서귀동어촌계해녀의집,,공공데이터포털,2018-02-23,,,,남성중로,40,서홍동,,,,
33.2687657,126.5857876,restaurant,516김밥,,공공데이터포털,2018-02-23,,,,516로,176,토평동,,,,
33.2791363,126.7184405,restaurant,탐우동,,공공데이터포털,2018-02-23,,,,태위로,673,남원읍,,,,
33.2653527,126.3717798,restaurant,창천휴게음식점,,공공데이터포털,2018-02-23,,,,일주서로,1326,안덕면,,,,
33.2239822,126.2553477,restaurant,러브하우스,,공공데이터포털,2018-02-23,,,,상모대서로,3,대정읍,,,,
33.2242506,126.2523089,cafe,아라다방,,공공데이터포털,2018-02-23,,,,하모중앙로,44,대정읍,,,,
33.2523615,126.4212458,restaurant,킹마트분식,,공공데이터포털,2018-02-23,,,,천제연로,154-1,중문동,,,,
33.2505549,126.5727622,restaurant,맛짱김밥,,공공데이터포털,2018-02-23,,,,태평로512번길,1-4,동홍동,,,101,
33.2515942,126.4252213,restaurant,김밥형님볶이아우,,공공데이터포털,2018-02-23,,,,천제연로,192-1,중문동,,,,
33.2519394,126.5614595,restaurant,옹기종기,,공공데이터포털,2018-02-23,,,,중앙로,82,서귀동,,,,
33.2606345,126.5129522,restaurant,친구들,,공공데이터포털,2018-02-23,,,,중산간동로,8462-2,서호동,,,,
33.2485788,126.5642465,restaurant,초록분식,,공공데이터포털,2018-02-23,,,,중앙로42번길,24,서귀동,,,,
33.3258978,126.8317849,cafe,솔잎다방,,공공데이터포털,2018-02-23,,,,표선중앙로80번길,9,표선면,,,,
33.2787198,126.7170458,restaurant,시카고피자남원점,,공공데이터포털,2018-02-23,,,,태위로,659,남원읍,,,,
33.4508497,126.914834,restaurant,피자클럽성산동남점,,공공데이터포털,2018-02-23,,,,고성동서로,71,성산읍,,,,
33.3190481,126.7087521,restaurant,남원농협중앙간이지점,,공공데이터포털,2018-02-23,,,,남조로,52,남원읍,,,,
33.2256651,126.2523708,restaurant,홈메이드김밥,,공공데이터포털,2018-02-23,,,,하모중앙로,30,대정읍,,,,
33.3269897,126.8317896,restaurant,아마니타,,공공데이터포털,2018-02-23,,,,표선중앙로,68,표선면,,,,
33.2530741,126.5621299,restaurant,테라스,,공공데이터포털,2018-02-23,,,,일주동로,8671,서귀동,,,,
33.2526876,126.570047,restaurant,코마분식,,공공데이터포털,2018-02-23,,,,태평로537번길,49,동홍동,,,,
33.2516397,126.4246163,restaurant,나성청보리빵수두리보말칼국수,,공공데이터포털,2018-02-23,,,,천제연로,186-1,중문동,,,,
33.2472388,126.5092079,restaurant,미가,,공공데이터포털,2018-02-23,,,,월드컵로,33,법환동,,,,
33.2559647,126.5122426,restaurant,영애분식,,공공데이터포털,2018-02-23,,,,신서귀로76번길,5,서호동,,,,
33.259096,126.5709653,restaurant,똘이분식,,공공데이터포털,2018-02-23,,,,동홍북로,24,동홍동,,,,
33.2498365,126.5601146,restaurant,죽이야기서귀포점,,공공데이터포털,2018-02-23,,,,중앙로,59,서귀동,,,,
33.2533972,126.5593495,restaurant,우리집,,공공데이터포털,2018-02-23,,,,중앙로101번길,13-2,서홍동,,,,
33.4257554,126.931741,restaurant,올인카페테리아,,공공데이터포털,2018-02-23,,,,섭지코지로,261,성산읍,,,,
33.2337921,126.3109307,restaurant,용머리휴게음식점,,공공데이터포털,2018-02-23,,,,사계남로216번길,28,안덕면,,,,
33.2843492,126.353606,,정석편의점,,공공데이터포털,2018-02-23,convenience,,,한창로,273,안덕면,,,,
33.2583344,126.560288,restaurant,한아름분식,,공공데이터포털,2018-02-23,,,,중앙로,154,서홍동,,,,
33.2536583,126.545814,restaurant,하논바람,,공공데이터포털,2018-02-23,,,,,,,,,,
33.2472388,126.5092079,cafe,바리스타월드컵경기장점,,공공데이터포털,2018-02-23,,,,월드컵로,33,법환동,,,,
33.2528512,126.561642,restaurant,이삭토스트2호점,,공공데이터포털,2018-02-23,,,,중앙로,92,서귀동,,,,
33.2484335,126.5092187,restaurant,이디야커피전문점,,공공데이터포털,2018-02-23,,,,일주동로,9209,법환동,,,,
33.2484335,126.5092187,restaurant,(주)이마트서귀포점조리식품,,공공데이터포털,2018-02-23,,,,일주동로,9209,법환동,,,,
33.2484335,126.5092187,restaurant,(주)이마트서귀포점회코너,,공공데이터포털,2018-02-23,,,,일주동로,9209,법환동,,,,
33.3258978,126.8317849,cafe,두리다방,,공공데이터포털,2018-02-23,,,,표선중앙로80번길,9,표선면,,,,
33.2232103,126.257842,cafe,진다방,,공공데이터포털,2018-02-23,,,,상모로,294,대정읍,,,,
33.2546582,126.3467011,restaurant,더클라이막스,,공공데이터포털,2018-02-23,,,,일주서로,1611,안덕면,,,,
33.4497079,126.9117086,cafe,보배다방,,공공데이터포털,2018-02-23,,,,고성중앙로,84,성산읍,,,,
33.2532723,126.5717372,restaurant,내입속의김밥,,공공데이터포털,2018-02-23,,,,동홍중앙로,29,동홍동,,,,
33.2339513,126.3136258,restaurant,용머리농수산,,공공데이터포털,2018-02-23,,,,사계남로216번길,24-27,안덕면,,,,
