위도,경도,amenity,name,addr:full,source,source:date
33.2213796,126.2524689,restaurant,멕시코니양념통닭,제주특별자치도 서귀포시 대정읍 하모상가로 34,공공데이터포털,2018-02-23
33.2461879,126.3315141,restaurant,육거리포차,제주특별자치도 서귀포시 안덕면 화순해안로 1,공공데이터포털,2018-02-23
33.3286715,126.7978001,restaurant,한아름식당,제주특별자치도 서귀포시 표선면 세성로 265,공공데이터포털,2018-02-23
33.3531131,126.7720257,restaurant,가스름식당,제주특별자치도 서귀포시 표선면 가시로565번길 19,공공데이터포털,2018-02-23
33.2475582,126.4081161,restaurant,호텔신라제주호텔천지,제주특별자치도 서귀포시 중문관광로72번길 75 (색달동),공공데이터포털,2018-02-23
33.2475582,126.4081161,restaurant,호텔신라제주호텔일출,제주특별자치도 서귀포시 중문관광로72번길 75 (색달동),공공데이터포털,2018-02-23
33.2475582,126.4081161,restaurant,더파크뷰,제주특별자치도 서귀포시 중문관광로72번길 75 (색달동),공공데이터포털,2018-02-23
33.2429044,126.4204352,restaurant,카페카노푸스,제주특별자치도 서귀포시 중문관광로 198 (중문동),공공데이터포털,2018-02-23
33.2478777,126.5609928,restaurant,동호식당,제주특별자치도 서귀포시 천지로 3 (서귀동),공공데이터포털,2018-02-23
33.2442635,126.5599329,restaurant,돌하루방잔치국수,제주특별자치도 서귀포시 남성중로 2-11 (서홍동),공공데이터포털,2018-02-23
33.2473924,126.5650353,restaurant,대우정,제주특별자치도 서귀포시 명동로 28-1 (서귀동),공공데이터포털,2018-02-23
33.2473744,126.5648006,restaurant,남도식당,제주특별자치도 서귀포시 명동로 26 (서귀동),공공데이터포털,2018-02-23
33.2469417,126.5627818,restaurant,삼이사,제주특별자치도 서귀포시 명동로 6 (서귀동),공공데이터포털,2018-02-23
33.2424686,126.5624462,restaurant,천지연호(好)치킨,제주특별자치도 서귀포시 천지연로 38 1층 (서귀동),공공데이터포털,2018-02-23
33.2408321,126.5618207,restaurant,제주올레,제주특별자치도 서귀포시 칠십리로 45 (서귀동),공공데이터포털,2018-02-23
33.248678,126.5592542,restaurant,페리카나양념통닭동문분점,제주특별자치도 서귀포시 서문로29번길 18 (서귀동),공공데이터포털,2018-02-23
33.2498261,126.5652949,restaurant,중앙복돼지,제주특별자치도 서귀포시 중앙로48번길 35 (서귀동),공공데이터포털,2018-02-23
33.2489825,126.5671908,restaurant,효진이네,제주특별자치도 서귀포시 동문로 66-1 (서귀동),공공데이터포털,2018-02-23
33.2681137,126.5893464,restaurant,이조삼계탕,제주특별자치도 서귀포시 중산간동로 7740 (토평동),공공데이터포털,2018-02-23
33.2501856,126.4315441,restaurant,사해방,제주특별자치도 서귀포시 중문관광로 338 (대포동),공공데이터포털,2018-02-23
33.2484506,126.5592344,restaurant,서귀포화정식당,제주특별자치도 서귀포시 중앙로47번길 24 (서귀동),공공데이터포털,2018-02-23
33.2500772,126.5588568,restaurant,지정식당,제주특별자치도 서귀포시 서문로 31 (서귀동),공공데이터포털,2018-02-23
33.2994935,126.5866758,restaurant,한라성,제주특별자치도 서귀포시 돈내코로 95 (상효동),공공데이터포털,2018-02-23
33.2515901,126.4243339,restaurant,동해옛날보리빵,제주특별자치도 서귀포시 천제연로 184 (중문동),공공데이터포털,2018-02-23
33.2615636,126.49447,restaurant,강정천식당, ,공공데이터포털,2018-02-23
