Y좌표,X좌표,ref,name,name:ko,highway,public_transport
35.14417143,128.7012012,519833,덕산동,덕산동,bus_stop,platform
35.14652261,128.7028592,504402,덕산시장,덕산시장,bus_stop,platform
35.14666659,128.7027368,504401,덕산시장,덕산시장,bus_stop,platform
35.30233952,128.5905689,103107,덕산아내,덕산아내,bus_stop,platform
35.30220558,128.5920454,103116,덕산아내,덕산아내,bus_stop,platform
35.14438215,128.7048958,630203,덕산초등학교,덕산초등학교,bus_stop,platform
35.14447443,128.7050462,630204,덕산초등학교,덕산초등학교,bus_stop,platform
35.14572723,128.7072731,518135,덕산해군아파트,덕산해군아파트,bus_stop,platform
35.14483919,128.707034,518134,덕산해군아파트,덕산해군아파트,bus_stop,platform
35.24483093,128.5875128,400121,덕재.롯데캐슬,덕재.롯데캐슬,bus_stop,platform
35.2441913,128.5872821,400122,덕재.롯데캐슬,덕재.롯데캐슬,bus_stop,platform
35.18063576,128.7958889,630234,덕정,덕정,bus_stop,platform
35.18056094,128.7961541,630235,덕정공원,덕정공원,bus_stop,platform
35.18041646,128.7998837,630313,덕정공원,덕정공원,bus_stop,platform
35.18103237,128.7994646,630314,덕정공원,덕정공원,bus_stop,platform
35.17981246,128.7984048,630395,덕정초등학교,덕정초등학교,bus_stop,platform
35.17964772,128.7984231,630396,덕정초등학교,덕정초등학교,bus_stop,platform
35.27884494,128.6842173,104651,덕천마을,덕천마을,bus_stop,platform
35.33485315,128.7288458,103729,덕현,덕현,bus_stop,platform
35.33482454,128.7289552,103730,덕현,덕현,bus_stop,platform
35.33611285,128.7264512,123006,덕현마을,덕현마을,bus_stop,platform
35.33587367,128.7265458,123007,덕현마을,덕현마을,bus_stop,platform
35.26082375,128.6362921,104503,도계동,도계동,bus_stop,platform
35.25820114,128.6336242,114201,도계동.의창스포츠센터,도계동.의창스포츠센터,bus_stop,platform
35.25681244,128.6344112,114202,도계동.의창스포츠센터,도계동.의창스포츠센터,bus_stop,platform
35.2618589,128.6329544,115315,도계동만남의광장,도계동만남의광장,bus_stop,platform
35.26151572,128.6322538,115316,도계동만남의광장,도계동만남의광장,bus_stop,platform
35.25519246,128.6362174,114203,도계주유소,도계주유소,bus_stop,platform
35.25482915,128.6361025,114204,도계주유소,도계주유소,bus_stop,platform
35.25865773,128.6380958,104505,도계초등학교,도계초등학교,bus_stop,platform
35.25905985,128.6380159,104504,도계초등학교,도계초등학교,bus_stop,platform
35.37224173,128.5982019,112603,도래,도래,bus_stop,platform
35.37218466,128.5981019,112604,도래,도래,bus_stop,platform
35.23885483,128.6899685,113308,도립미술관,도립미술관,bus_stop,platform
35.23833674,128.6892302,113307,도립미술관,도립미술관,bus_stop,platform
35.11691823,128.5321721,322114,도만,도만,bus_stop,platform
35.11708271,128.5322757,322113,도만,도만,bus_stop,platform
35.10780081,128.426484,320716,도산마을,도산마을,bus_stop,platform
35.1076017,128.4271774,320715,도산마을,도산마을,bus_stop,platform
35.23557924,128.5820776,630241,도원예시장,도원예시장,bus_stop,platform
35.18465793,128.786647,630324,도청골,도청골,bus_stop,platform
35.18470502,128.7871418,630325,도청골,도청골,bus_stop,platform
35.23789861,128.687972,119127,도청사거리,도청사거리,bus_stop,platform
35.23771204,128.6877522,119126,도청사거리,도청사거리,bus_stop,platform
35.34941347,128.5708132,103403,도태,도태,bus_stop,platform
35.3492547,128.5709348,103404,도태,도태,bus_stop,platform
35.33608826,128.7333271,123014,동곡,동곡,bus_stop,platform
35.24217524,128.5040664,401015,동남타운,동남타운,bus_stop,platform
35.21969057,128.5817056,312803,동마산주유소,동마산주유소,bus_stop,platform
35.21916743,128.5814862,312804,동마산주유소,동마산주유소,bus_stop,platform
35.24130811,128.6259557,118601,동민정공,동민정공,bus_stop,platform
35.24162011,128.6258584,118502,동민정공,동민정공,bus_stop,platform
35.0858954,128.8175884,630239,동방물류센터,동방물류센터,bus_stop,platform
35.08617668,128.8176156,630240,동방물류센터,동방물류센터,bus_stop,platform
35.08594082,128.8191819,523326,동방물류센터,동방물류센터,bus_stop,platform
35.34600761,128.727419,123002,동부마을,동부마을,bus_stop,platform
35.34611053,128.7274604,123003,동부마을,동부마을,bus_stop,platform
35.11869741,128.3910998,320707,동산마을,동산마을,bus_stop,platform
35.11838791,128.3911934,320708,동산마을,동산마을,bus_stop,platform
35.12479436,128.4473983,315104,동삼마을,동삼마을,bus_stop,platform
35.12483972,128.4472663,315103,동삼마을,동삼마을,bus_stop,platform
35.12192629,128.4520156,315003,동삼마을,동삼마을,bus_stop,platform
35.25652114,128.5216444,422812,동서병원,동서병원,bus_stop,platform
35.25800183,128.5221737,422813,동서병원,동서병원,bus_stop,platform
35.25074578,128.6129642,118805,동서식품,동서식품,bus_stop,platform
35.2498699,128.6137411,118806,동서식품,동서식품,bus_stop,platform
35.19026243,128.5561202,306119,동성월영마을아파트,동성월영마을아파트,bus_stop,platform
35.19004043,128.5555732,306107,동성월영마을아파트,동성월영마을아파트,bus_stop,platform
35.25109144,128.5135482,401501,동신아파트,동신아파트,bus_stop,platform
35.25076149,128.5136388,401502,동신아파트,동신아파트,bus_stop,platform
35.08687671,128.7744769,630334,동영로지스틱스,동영로지스틱스,bus_stop,platform
35.0883237,128.7742296,630360,동영로지스틱스(주),동영로지스틱스(주),bus_stop,platform
35.24843791,128.6169916,118807,동우기계,동우기계,bus_stop,platform
35.24770066,128.6175428,118808,동우기계,동우기계,bus_stop,platform
35.24636628,128.6171234,121001,동우기계공업,동우기계공업,bus_stop,platform
