경도,위도,ref,name,short_name,name:ko,highway,public_transport
36.24318593,128.3044972,10899,선산문화회관삼거리(선산터미널종점방면),선산문화회관삼거,선산문화회관삼거리(선산터미널종점방면),bus_stop,platform
36.09151104,128.4060855,10807,(주)효성건너,(주)효성건너,(주)효성건너,bus_stop,platform
36.10623281,128.3854672,10869,평생교육원건너,평생교육원,평생교육원건너,bus_stop,platform
36.10292617,128.3626937,10415,홈플러스정문건너,홈플러스정문,홈플러스정문건너,bus_stop,platform
36.10217546,128.3729295,10531,새한단지앞(광평동푸르지오아파트방면),새한단지앞,새한단지앞(광평동푸르지오아파트방면),bus_stop,platform
36.1195893,128.3605576,10530,구미IC네거리,구미IC네거리,구미IC네거리,bus_stop,platform
36.12214845,128.3611767,10528,신평농협,신평농협,신평농협,bus_stop,platform
36.12141381,128.3594641,10765,강산타운아파트건너,강산타운아파트,강산타운아파트건너,bus_stop,platform
36.14420103,128.3473449,10763,지산새마을금고앞,지산새마을금고,지산새마을금고앞,bus_stop,platform
36.1386236,128.3459868,10761,지산동행정복지센터앞,지산동주민센터,지산동행정복지센터앞,bus_stop,platform
36.14610351,128.3480001,10767,지산2동(지산새마을금고방면),지산2동,지산2동(지산새마을금고방면),bus_stop,platform
36.13595361,128.3453593,10894,지산수우입구(지산1동방면),지산수우입구,지산수우입구(지산1동방면),bus_stop,platform
36.19825645,128.2844331,10805,횡산입구(내예리방면),횡산입구,횡산입구(내예리방면),bus_stop,platform
36.20774651,128.3081372,10544,파산리(고아신촌방면),파산리,파산리(고아신촌방면),bus_stop,platform
