위도,경도,highway,bus,public_transport,name,ref,source,source:date
35.55791047,129.3313538,bus_stop,yes,platform,남운학성타운앞,11504,공공데이터포털,2020-07-27
35.56033316,129.33224,bus_stop,yes,platform,MBC앞,11506,공공데이터포털,2020-07-27
35.57982546,129.3164098,bus_stop,yes,platform,성안청구,11701,공공데이터포털,2020-07-27
35.58025652,129.3164029,bus_stop,yes,platform,성안청구아파트,11702,공공데이터포털,2020-07-27
35.57852314,129.318844,bus_stop,yes,platform,성안청구아파트입구,11704,공공데이터포털,2020-07-27
35.57860834,129.3186893,bus_stop,yes,platform,성안청구아파트입구,11705,공공데이터포털,2020-07-27
35.58063584,129.322982,bus_stop,yes,platform,성안파출소,11706,공공데이터포털,2020-07-27
35.5807809,129.3228773,bus_stop,yes,platform,성안파출소,11707,공공데이터포털,2020-07-27
35.58519491,129.3248953,bus_stop,yes,platform,내약마을,11708,공공데이터포털,2020-07-27
35.58486233,129.3236131,bus_stop,yes,platform,내약마을,11709,공공데이터포털,2020-07-27
35.58067759,129.3168369,bus_stop,yes,platform,성안청구아파트,11711,공공데이터포털,2020-07-27
35.57946166,129.3232384,bus_stop,yes,platform,KCC인테리어,11712,공공데이터포털,2020-07-27
35.57938178,129.3233746,bus_stop,yes,platform,KCC인테리어,11713,공공데이터포털,2020-07-27
35.57615264,129.3059498,bus_stop,yes,platform,성안금호아파트,11801,공공데이터포털,2020-07-27
35.57580894,129.3062288,bus_stop,yes,platform,성안금호아파트,11802,공공데이터포털,2020-07-27
35.57514547,129.3089015,bus_stop,yes,platform,국토정보공사,11803,공공데이터포털,2020-07-27
35.57535673,129.3088403,bus_stop,yes,platform,국토정보공사,11804,공공데이터포털,2020-07-27
35.57412667,129.3122554,bus_stop,yes,platform,백양사,11805,공공데이터포털,2020-07-27
35.5742986,129.3121451,bus_stop,yes,platform,백양사,11806,공공데이터포털,2020-07-27
35.57823249,129.3065687,bus_stop,yes,platform,함월구민운동장,11807,공공데이터포털,2020-07-27
35.57820908,129.3066149,bus_stop,yes,platform,함월구민운동장,11808,공공데이터포털,2020-07-27
35.58321309,129.3062212,bus_stop,yes,platform,돌담집,11809,공공데이터포털,2020-07-27
35.58329865,129.3062082,bus_stop,yes,platform,돌담집,11810,공공데이터포털,2020-07-27
35.53443844,129.326211,bus_stop,yes,platform,달동주공아파트,12101,공공데이터포털,2020-07-27
35.53439738,129.3268166,bus_stop,yes,platform,달동주공아파트,12102,공공데이터포털,2020-07-27
35.53362255,129.3242696,bus_stop,yes,platform,동평중학교,12103,공공데이터포털,2020-07-27
35.53368413,129.3243709,bus_stop,yes,platform,동평중학교,12104,공공데이터포털,2020-07-27
35.551931,129.2743811,bus_stop,yes,platform,삼호,12201,공공데이터포털,2020-07-27
35.55173038,129.2745077,bus_stop,yes,platform,삼호,12202,공공데이터포털,2020-07-27
35.5497402,129.2729883,bus_stop,yes,platform,삼호주공아파트앞,12203,공공데이터포털,2020-07-27
35.54993676,129.2733616,bus_stop,yes,platform,삼호주공아파트앞,12204,공공데이터포털,2020-07-27
35.56391081,129.2805754,bus_stop,yes,platform,테크노파크(종점),12301,공공데이터포털,2020-07-27
35.54017305,129.35327,bus_stop,yes,platform,태화강역(종점),12308,공공데이터포털,2020-07-27
35.53992879,129.3533469,bus_stop,yes,platform,태화강역,12309,공공데이터포털,2020-07-27
35.53890689,129.3523643,bus_stop,yes,platform,태화강역,12310,공공데이터포털,2020-07-27
35.5386578,129.3523561,bus_stop,yes,platform,태화강역,12312,공공데이터포털,2020-07-27
35.51960927,129.312573,bus_stop,yes,platform,우주그린아파트앞,12401,공공데이터포털,2020-07-27
35.51973647,129.312424,bus_stop,yes,platform,우주그린아파트앞,12402,공공데이터포털,2020-07-27
35.51901668,129.3142723,bus_stop,yes,platform,한실청실맨션앞,12404,공공데이터포털,2020-07-27
35.51626164,129.3161054,bus_stop,yes,platform,삼일여고앞,12405,공공데이터포털,2020-07-27
35.5163845,129.3164065,bus_stop,yes,platform,삼일여고앞,12406,공공데이터포털,2020-07-27
35.51611988,129.3163301,bus_stop,yes,platform,삼일여고앞,12407,공공데이터포털,2020-07-27
35.51756562,129.3157824,bus_stop,yes,platform,카프로사택,12408,공공데이터포털,2020-07-27
35.53670843,129.3032963,bus_stop,yes,platform,문수로2차아이파크,12411,공공데이터포털,2020-07-27
35.53781072,129.3032825,bus_stop,yes,platform,문수로2차아이파크,12413,공공데이터포털,2020-07-27
35.53784827,129.3010095,bus_stop,yes,platform,에쓰오일사택,12415,공공데이터포털,2020-07-27
35.53660956,129.3011112,bus_stop,yes,platform,넝쿨아파트,12417,공공데이터포털,2020-07-27
35.53883579,129.3027704,bus_stop,yes,platform,평화시장,12421,공공데이터포털,2020-07-27
35.52642,129.32358,bus_stop,yes,platform,홈플러스,12501,공공데이터포털,2020-07-27
35.52353049,129.3239504,bus_stop,yes,platform,동부3단지아파트,12503,공공데이터포털,2020-07-27
35.52364198,129.3240698,bus_stop,yes,platform,동부3단지아파트,12504,공공데이터포털,2020-07-27
35.52996342,129.324776,bus_stop,yes,platform,신정현대홈타운단지내,12505,공공데이터포털,2020-07-27
35.52810337,129.3257486,bus_stop,yes,platform,울산세관입구,12507,공공데이터포털,2020-07-27
35.53694278,129.2891755,bus_stop,yes,platform,천호탕앞,12605,공공데이터포털,2020-07-27
35.53695356,129.2892725,bus_stop,yes,platform,천호탕앞,12606,공공데이터포털,2020-07-27
35.53826702,129.2886704,bus_stop,yes,platform,서강파크앞,12607,공공데이터포털,2020-07-27
35.53843088,129.2885825,bus_stop,yes,platform,서강파크앞,12608,공공데이터포털,2020-07-27
35.54115736,129.293236,bus_stop,yes,platform,청암현대아파트,12611,공공데이터포털,2020-07-27
35.54127702,129.2933907,bus_stop,yes,platform,청암현대아파트,12612,공공데이터포털,2020-07-27
35.54095539,129.2947618,bus_stop,yes,platform,대륙2차현대아파트앞,12613,공공데이터포털,2020-07-27
35.54128832,129.2944872,bus_stop,yes,platform,대륙2차현대아파트앞,12614,공공데이터포털,2020-07-27
35.53365837,129.2568754,bus_stop,yes,platform,문수경기장,12701,공공데이터포털,2020-07-27
35.53425145,129.2572321,bus_stop,yes,platform,문수경기장,12704,공공데이터포털,2020-07-27
35.53211843,129.260879,bus_stop,yes,platform,문수수영장,12710,공공데이터포털,2020-07-27
35.53191781,129.2609464,bus_stop,yes,platform,문수수영장,12711,공공데이터포털,2020-07-27
35.53252434,129.2637721,bus_stop,yes,platform,울산야구장,12712,공공데이터포털,2020-07-27
35.53286365,129.2647766,bus_stop,yes,platform,울산야구장,12713,공공데이터포털,2020-07-27
35.4981401,129.4183381,bus_stop,yes,platform,울산과학대학앞,13201,공공데이터포털,2020-07-27
35.49839633,129.4184328,bus_stop,yes,platform,울산과학대학앞,13202,공공데이터포털,2020-07-27
35.49837827,129.4227633,bus_stop,yes,platform,화진중학교,13203,공공데이터포털,2020-07-27
35.49853032,129.4231362,bus_stop,yes,platform,화진중학교,13204,공공데이터포털,2020-07-27
35.49757661,129.4253095,bus_stop,yes,platform,일산해수욕장입구,13205,공공데이터포털,2020-07-27
35.4970895,129.4270572,bus_stop,yes,platform,일산해수욕장입구,13206,공공데이터포털,2020-07-27
35.49320036,129.4223208,bus_stop,yes,platform,화정엠코타운,13301,공공데이터포털,2020-07-27
35.49309726,129.4224075,bus_stop,yes,platform,화정엠코타운,13302,공공데이터포털,2020-07-27
35.48975824,129.4214934,bus_stop,yes,platform,신진파크,13303,공공데이터포털,2020-07-27
35.4905669,129.4215507,bus_stop,yes,platform,신진파크,13304,공공데이터포털,2020-07-27
35.51366126,129.4251799,bus_stop,yes,platform,한마음아파트,13401,공공데이터포털,2020-07-27
35.51364292,129.42527,bus_stop,yes,platform,한마음아파트,13402,공공데이터포털,2020-07-27
35.50346559,129.4221603,bus_stop,yes,platform,생활과학고등학교,13409,공공데이터포털,2020-07-27
35.50375666,129.4216844,bus_stop,yes,platform,생활과학고등학교,13410,공공데이터포털,2020-07-27
35.64801314,129.4224348,bus_stop,yes,platform,대안,14001,공공데이터포털,2020-07-27
35.64805565,129.4225048,bus_stop,yes,platform,대안,14002,공공데이터포털,2020-07-27
35.64674297,129.4279768,bus_stop,yes,platform,효원산업,14005,공공데이터포털,2020-07-27
35.64695173,129.4278971,bus_stop,yes,platform,효원산업,14006,공공데이터포털,2020-07-27
35.64014746,129.4346598,bus_stop,yes,platform,신명동,14007,공공데이터포털,2020-07-27
35.64023292,129.4346444,bus_stop,yes,platform,신명동,14008,공공데이터포털,2020-07-27
35.58883091,129.4298556,bus_stop,yes,platform,구남군부대앞,14009,공공데이터포털,2020-07-27
35.58881341,129.4297737,bus_stop,yes,platform,구남군부대앞,14010,공공데이터포털,2020-07-27
35.63971794,129.4397092,bus_stop,yes,platform,대안입구,14011,공공데이터포털,2020-07-27
35.63979402,129.4396664,bus_stop,yes,platform,대안입구,14012,공공데이터포털,2020-07-27
35.64105237,129.4323398,bus_stop,yes,platform,신명천,14013,공공데이터포털,2020-07-27
