위도,경도,name,public_transport,bus,addr:subdistrict,highway,source
35.969551,126.62287,공진선박,platform,yes,소룡동,bus_stop,공공데이터포털
35.94266,126.654224,공항교차로,platform,yes,개사동,bus_stop,공공데이터포털
35.937272,126.777095,구율마을,platform,yes,개정면,bus_stop,공공데이터포털
35.903019,126.63744,신오산촌,platform,yes,옥서면,bus_stop,공공데이터포털
35.937736,126.686329,신촌마을,platform,yes,신관동,bus_stop,공공데이터포털
35.96056,126.694877,아리랑아파트,platform,yes,나운동,bus_stop,공공데이터포털
35.90673,126.688995,양등,platform,yes,옥구읍,bus_stop,공공데이터포털
35.910182,126.661585,어은경로당,platform,yes,옥구읍,bus_stop,공공데이터포털
35.895027,126.676532,어은동종점,platform,yes,옥구읍,bus_stop,공공데이터포털
35.945407,126.686097,군산대정문,platform,yes,미룡동,bus_stop,공공데이터포털
35.975928,126.586011,군산항5부두,platform,yes,소룡동,bus_stop,공공데이터포털
35.990558,126.711403,근대역사박물관,platform,yes,장미동,bus_stop,공공데이터포털
35.971495,126.732972,금강방송군산지사,platform,yes,경장동,bus_stop,공공데이터포털
35.900722,126.746971,금광마을,platform,yes,회현면,bus_stop,공공데이터포털
35.926455,126.798957,금반,platform,yes,대야면,bus_stop,공공데이터포털
35.949269,126.864566,금암,platform,yes,임피면,bus_stop,공공데이터포털
35.961395,126.705627,예술의전당,platform,yes,지곡동,bus_stop,공공데이터포털
36.063377,126.878123,오류동,platform,yes,웅포면,bus_stop,공공데이터포털
35.904769,126.777348,오산촌,platform,yes,회현면,bus_stop,공공데이터포털
36.048782,126.852788,옥동,platform,yes,나포면,bus_stop,공공데이터포털
36.021296,126.863135,와촌마을,platform,yes,나포면,bus_stop,공공데이터포털
36.021381,126.86317,와촌마을,platform,yes,나포면,bus_stop,공공데이터포털
36.01736,126.815874,외곡,platform,yes,나포면,bus_stop,공공데이터포털
35.95474,126.829885,외덕,platform,yes,대야면,bus_stop,공공데이터포털
35.97665,126.843854,남서원,platform,yes,임피면,bus_stop,공공데이터포털
35.951278,126.822414,남흥마을,platform,yes,대야면,bus_stop,공공데이터포털
35.955707,126.592351,내초도마을입구,platform,yes,소룡동,bus_stop,공공데이터포털
35.970428,126.764743,달려,platform,yes,개정동,bus_stop,공공데이터포털
35.959981,126.696748,서호아파트,platform,yes,나운동,bus_stop,공공데이터포털
35.933829,126.643428,성남동,platform,yes,옥서면,bus_stop,공공데이터포털
35.975757,126.742053,세풍사택,platform,yes,조촌동,bus_stop,공공데이터포털
35.975769,126.679279,소룡농협,platform,yes,소룡동,bus_stop,공공데이터포털
36.007881,126.794784,수심,platform,yes,성산면,bus_stop,공공데이터포털
35.912683,126.765256,원학당마을,platform,yes,회현면,bus_stop,공공데이터포털
