위도,경도,name,name:en,name:ko,highway,public_transport
37.879823,128.023212,자은1리.원동입구,Jaeun1Ri.Wondongipgu,자은1리.원동입구,bus_stop,platform
37.873092,128.023442,자은2리.두촌중학교앞,Jaeun2Ri.Duchonjunghakgyoap,자은2리.두촌중학교앞,bus_stop,platform
37.883316,128.040883,자은3리,Jaeun 3(sam)-ri,자은3리,bus_stop,platform
37.883196,128.040897,자은3리,Jaeun 3(sam)-ri,자은3리,bus_stop,platform
37.885535,128.025066,자은3리,Jaeun 3(sam)-ri,자은3리,bus_stop,platform
37.885941,128.025096,자은3리.외후동,Jaeun3Ri.Oehudong,자은3리.외후동,bus_stop,platform
37.867066,128.016424,자은승강장,Jaeunseunggangjang,자은승강장,bus_stop,platform
37.86716,128.016347,자은승강장,Jaeunseunggangjang,자은승강장,bus_stop,platform
37.891821,128.034466,장남1리.남덕동,Jangnam1Ri.Namdeokdong,장남1리.남덕동,bus_stop,platform
37.891908,128.034269,장남1리.남덕동,Jangnam1Ri.Namdeokdong,장남1리.남덕동,bus_stop,platform
37.900062,128.037834,장남1리.옥수수시험장,Jangnam1Ri.Oksususiheomjang,장남1리.옥수수시험장,bus_stop,platform
37.899864,128.037733,장남1리.옥수수시험장,Jangnam1Ri.Oksususiheomjang,장남1리.옥수수시험장,bus_stop,platform
37.89769,128.037413,장남1리.원거리마을,Jangnam1Ri.Wongeorimaeul,장남1리.원거리마을,bus_stop,platform
37.897703,128.037488,장남1리.원거리마을,Jangnam1Ri.Wongeorimaeul,장남1리.원거리마을,bus_stop,platform
37.918344,128.032189,장남2리,Jangnam2Ri,장남2리,bus_stop,platform
37.92389,128.017927,장남2리,Jangnam2Ri,장남2리,bus_stop,platform
37.913348,128.037626,장남2리,Jangnam2Ri,장남2리,bus_stop,platform
37.918302,128.032131,장남2리,Jangnam2Ri,장남2리,bus_stop,platform
37.913399,128.037668,장남2리,Jangnam2Ri,장남2리,bus_stop,platform
37.910328,128.046916,장남2리.거니고개,Jangnam2Ri.Geonigogae,장남2리.거니고개,bus_stop,platform
37.911704,128.050183,장남2리.거니고개,Jangnam2Ri.Geonigogae,장남2리.거니고개,bus_stop,platform
37.906717,128.044432,장남2리.장사랑마을,Jangnam2Ri.Jangsarangmaeul,장남2리.장사랑마을,bus_stop,platform
37.90649,128.04439,장남승강장,Jangnamseunggangjang,장남승강장,bus_stop,platform
37.780088,128.129421,장수원,Jangsuwon,장수원,bus_stop,platform
37.780047,128.129546,장수원,Jangsuwon,장수원,bus_stop,platform
37.650779,127.890767,장전평(상),Jangjeonpyeong(Sang),장전평(상),bus_stop,platform
37.658066,127.886631,장전평1리,Jangjeonpyeong1Ri,장전평1리,bus_stop,platform
37.658194,127.885857,장전평1리,Jangjeonpyeong1Ri,장전평1리,bus_stop,platform
37.650603,127.891083,장전평2리,Jangjeonpyeong2Ri,장전평2리,bus_stop,platform
37.742479,128.08787,장평1리,Jangpyeong 1(il)-ri,장평1리,bus_stop,platform
37.742586,128.087895,장평1리,Jangpyeong 1(il)-ri,장평1리,bus_stop,platform
37.751523,128.052662,장평리,Jangpyeong-ri,장평리,bus_stop,platform
