위도,경도,public_transport,highway,name,operator,source,source:date
37.88109,127.75223,platform,bus_stop,후평현대3차,춘천시,공공데이터포털,2019-11-27
37.847,127.76646,platform,bus_stop,신촌2리,춘천시,공공데이터포털,2019-11-27
37.84713,127.7664,platform,bus_stop,신촌2리,춘천시,공공데이터포털,2019-11-27
37.8815,127.73466,platform,bus_stop,향교,춘천시,공공데이터포털,2019-11-27
37.88177,127.73514,platform,bus_stop,향교,춘천시,공공데이터포털,2019-11-27
37.74212,127.67823,platform,bus_stop,행촌리,춘천시,공공데이터포털,2019-11-27
37.74214,127.67871,platform,bus_stop,행촌리,춘천시,공공데이터포털,2019-11-27
37.8707,127.72469,platform,bus_stop,디아펠리즈,춘천시,공공데이터포털,2019-11-27
37.9269,127.75572,platform,bus_stop,율문2리,춘천시,공공데이터포털,2019-11-27
37.92709,127.75584,platform,bus_stop,율문2리,춘천시,공공데이터포털,2019-11-27
37.92929,127.76167,platform,bus_stop,항공대정문,춘천시,공공데이터포털,2019-11-27
37.92947,127.76178,platform,bus_stop,항공대정문,춘천시,공공데이터포털,2019-11-27
37.79398,127.77217,platform,bus_stop,할렐루야기도원,춘천시,공공데이터포털,2019-11-27
37.79465,127.77274,platform,bus_stop,할렐루야기도원,춘천시,공공데이터포털,2019-11-27
37.84698,127.75552,platform,bus_stop,장애인종합복지관,춘천시,공공데이터포털,2019-11-27
37.84742,127.7553,platform,bus_stop,장애인종합복지관,춘천시,공공데이터포털,2019-11-27
37.88316,127.73725,platform,bus_stop,한림대학교,춘천시,공공데이터포털,2019-11-27
37.86925,127.72922,platform,bus_stop,한국토지주택공사,춘천시,공공데이터포털,2019-11-27
37.8835,127.74863,platform,bus_stop,후평환승센터,춘천시,공공데이터포털,2019-11-27
37.88354,127.74892,platform,bus_stop,후평환승센터,춘천시,공공데이터포털,2019-11-27
37.88225,127.72859,platform,bus_stop,한국은행,춘천시,공공데이터포털,2019-11-27
37.9403,127.72778,platform,bus_stop,한계울마을,춘천시,공공데이터포털,2019-11-27
37.94024,127.72757,platform,bus_stop,한계울마을,춘천시,공공데이터포털,2019-11-27
37.83486,127.7603,platform,bus_stop,학곡리종점,춘천시,공공데이터포털,2019-11-27
37.83501,127.76041,platform,bus_stop,학곡리종점,춘천시,공공데이터포털,2019-11-27
37.91395,127.75496,platform,bus_stop,하일종점,춘천시,공공데이터포털,2019-11-27
37.90158,127.75166,platform,bus_stop,하일입구,춘천시,공공데이터포털,2019-11-27
37.90152,127.75162,platform,bus_stop,하일입구,춘천시,공공데이터포털,2019-11-27
37.85607,127.73888,platform,bus_stop,무릉공원,춘천시,공공데이터포털,2019-11-27
37.85607,127.73919,platform,bus_stop,무릉공원,춘천시,공공데이터포털,2019-11-27
37.86456,127.70712,platform,bus_stop,하사관주택,춘천시,공공데이터포털,2019-11-27
37.86503,127.70695,platform,bus_stop,하사관주택,춘천시,공공데이터포털,2019-11-27
37.92992,127.76536,platform,bus_stop,율문3리,춘천시,공공데이터포털,2019-11-27
37.88061,127.74948,platform,bus_stop,포스코더샵A,춘천시,공공데이터포털,2019-11-27
37.8817,127.74675,platform,bus_stop,포스코후문,춘천시,공공데이터포털,2019-11-27
37.88157,127.74696,platform,bus_stop,포스코후문,춘천시,공공데이터포털,2019-11-27
37.88162,127.7485,platform,bus_stop,포스코더샵A,춘천시,공공데이터포털,2019-11-27
37.82162,127.70383,platform,bus_stop,팔미쉼터,춘천시,공공데이터포털,2019-11-27
37.81379,127.69825,platform,bus_stop,팔미3리,춘천시,공공데이터포털,2019-11-27
37.80964,127.69635,platform,bus_stop,팔미3리,춘천시,공공데이터포털,2019-11-27
37.81387,127.69817,platform,bus_stop,팔미리,춘천시,공공데이터포털,2019-11-27
37.82161,127.70436,platform,bus_stop,팔미1리,춘천시,공공데이터포털,2019-11-27
37.85149,127.74443,platform,bus_stop,원예농협남부지점,춘천시,공공데이터포털,2019-11-27
37.85054,127.74413,platform,bus_stop,투탑시티,춘천시,공공데이터포털,2019-11-27
37.85858,127.72502,platform,bus_stop,퇴계현대1차,춘천시,공공데이터포털,2019-11-27
