위도,경도,name,name:ko,ref,highway,public_transport,passenger_information_display
37.2942347,127.53447,제일농장,제일농장,32189,bus_stop,platform,yes
37.2934223,127.528724,고백리,고백리,32186,bus_stop,platform,yes
37.2954238,127.5425083,두무재,두무재,32526,bus_stop,platform,yes
37.2788268,127.4865494,효양아파트,효양아파트,51189,bus_stop,platform,yes
37.288752,127.4922243,종합운동장,종합운동장,32168,bus_stop,platform,yes
37.2976631,127.5065578,신원4리종점,신원4리종점,51042,bus_stop,platform,yes
37.2596494,127.4957767,아미리,아미리,32578,bus_stop,platform,yes
37.2376321,127.5141042,이화그린아파트,이화그린아파트,32594,bus_stop,platform,yes
37.2775946,127.5156589,죽당리,죽당리,32910,bus_stop,platform,yes
37.254543,127.4567428,장록동,장록동,51002,bus_stop,platform,yes
37.2244657,127.4017922,단천1리,단천1리,32636,bus_stop,platform,yes
37.2057907,127.3814742,매곡1리,매곡1리,32427,bus_stop,platform,yes
37.246471,127.4166014,안평마트앞,안평마트앞,51166,bus_stop,platform,yes
37.2385086,127.4385896,유산3리,유산3리,32689,bus_stop,platform,yes
37.2118027,127.429201,주미리,주미리,32914,bus_stop,platform,yes
37.2317152,127.4342073,후안3리,후안3리,32330,bus_stop,platform,yes
37.2466532,127.3601229,마장초등학교,마장초등학교,32015,bus_stop,platform,yes
37.2468905,127.3598248,마장초등학교,마장초등학교,32016,bus_stop,platform,yes
37.2463678,127.3658071,이치3리,이치3리,32027,bus_stop,platform,yes
37.24693,127.3734288,각평리입구,각평리입구,32039,bus_stop,platform,yes
37.21316,127.3584724,지산리조트입구.경희마트,지산리조트입구.경희마트,32011,bus_stop,platform,yes
37.2487015,127.3745533,이치2리,이치2리,32040,bus_stop,platform,yes
37.2211292,127.3690217,이평2리,이평2리,32032,bus_stop,platform,yes
37.2135855,127.3608289,해월리,해월리,32017,bus_stop,platform,yes
37.2443688,127.4548111,고담동,고담동,32836,bus_stop,platform,yes
37.242482,127.4534024,고담동,고담동,32837,bus_stop,platform,yes
37.2067929,127.4809361,도리리,도리리,32395,bus_stop,platform,yes
37.2445959,127.4951718,사동2.3리,사동2.3리,32595,bus_stop,platform,yes
37.2227024,127.4926525,대월초등학교,대월초등학교,32906,bus_stop,platform,yes
37.1950633,127.4668624,소고2리,소고2리,32847,bus_stop,platform,yes
37.1462735,127.493489,송곡2리,송곡2리,32645,bus_stop,platform,yes
37.1817545,127.4784026,소사리,소사리,51024,bus_stop,platform,yes
37.1902779,127.4716873,원두3리,원두3리,32624,bus_stop,platform,yes
37.1719466,127.4808044,모가면사무소,모가면사무소,32987,bus_stop,platform,yes
37.1467756,127.5821433,이황1리,이황1리,32630,bus_stop,platform,yes
37.1184274,127.6332225,다리앞,다리앞,32237,bus_stop,platform,yes
37.1239505,127.6183826,장호원중고등학교,장호원중고등학교,32697,bus_stop,platform,yes
37.1630379,127.6320171,원부리.청솔가든,원부리.청솔가든,32525,bus_stop,platform,yes
37.2626289,127.4462057,율현동,율현동,32094,bus_stop,platform,yes
37.3103751,127.5357339,대관리,대관리,32446,bus_stop,platform,yes
37.3100892,127.4427246,도암3리마을회관,도암3리마을회관,51088,bus_stop,platform,yes
37.0523952,127.5529177,산골,산골,32858,bus_stop,platform,yes
37.3236268,127.4241786,지석리,지석리,32404,bus_stop,platform,yes
37.3133276,127.4668177,신대리,신대리,32543,bus_stop,platform,yes
37.3441033,127.4708104,송말1리,송말1리,32564,bus_stop,platform,yes
37.180426,127.4793853,모가중학교,모가중학교,32264,bus_stop,platform,yes
37.1134446,127.591667,송산리,송산리,32206,bus_stop,platform,yes
37.2229998,127.4770832,대대리,대대리,32812,bus_stop,platform,yes
37.2486903,127.3575565,마장면사무소,마장면사무소,32009,bus_stop,platform,yes
37.2074766,127.4988064,구시리입구,구시리입구,32613,bus_stop,platform,yes
