위도,경도,ref,정류장유형,name,short_name,name:ko,highway,public_transport
34.976718,126.7053,327000008,1,천곡,천곡,천곡,bus_stop,platform
34.980357,126.704591,327000009,1,봉성,봉성,봉성,bus_stop,platform
34.986137,126.704667,327000010,1,석기네,석기네,석기네,bus_stop,platform
34.987326,126.704431,327000048,1,석기네,석기네,석기네,bus_stop,platform
34.98034,126.704131,327000049,1,봉성,봉성,봉성,bus_stop,platform
34.950282,126.682508,327000056,1,행전,행전,행전,bus_stop,platform
34.950202,126.682684,327000057,1,행전,행전,행전,bus_stop,platform
34.956212,126.686052,327000058,1,평전,평전,평전,bus_stop,platform
34.961291,126.686407,327000059,1,평전(화정1리),평전*화정1리),평전(화정1리),bus_stop,platform
34.956311,126.685996,327000060,1,평전,평전,평전,bus_stop,platform
34.961404,126.686346,327000061,1,평전(화정1리),평전(화정1리),평전(화정1리),bus_stop,platform
34.963191,126.691411,327000062,1,동산,동산,동산,bus_stop,platform
34.963281,126.691393,327000063,1,동산,동산,동산,bus_stop,platform
34.967055,126.702272,327000064,1,상사,상사,상사,bus_stop,platform
34.967181,126.702199,327000065,1,상사,상사,상사,bus_stop,platform
34.953782,126.710615,327000053,1,금동,금동,금동,bus_stop,platform
34.976712,126.705043,327000050,1,천곡,천곡,천곡,bus_stop,platform
34.936275,126.711374,327000055,1,죽동,죽동,죽동,bus_stop,platform
34.971793,126.706432,327000051,1,양산,양산,양산,bus_stop,platform
34.948955,126.711542,327000054,1,신원리,신원리,신원리,bus_stop,platform
34.960647,126.706962,327000052,1,신가,신가,신가,bus_stop,platform
34.804809,126.421884,150000098,0,동신대학교한방병원,동신한방병원,동신대학교한방병원,bus_stop,platform
34.806642,126.424128,200000035,0,하당우체국,하당우체국,하당우체국,bus_stop,platform
34.814472,126.421995,111200025,0,청호시장입구,청호시장입구,청호시장입구,bus_stop,platform
34.805592,126.418323,111200020,0,영흥중고등학교,영흥중고등학교,영흥중고등학교,bus_stop,platform
34.807241,126.418105,111200021,0,성원아트빌,성원아트빌,성원아트빌,bus_stop,platform
34.808133,126.420001,111200022,0,하당동주민센터,하당동주민센터,하당동주민센터,bus_stop,platform
34.807138,126.424091,101000014,0,하당우체국,하당우체국,하당우체국,bus_stop,platform
34.809873,126.423575,101000016,0,제일성결교회,제일성결교회,제일성결교회,bus_stop,platform
34.80814,126.423042,101000015,0,하당농협,하당농협,하당농협,bus_stop,platform
34.816268,126.423348,180000021,0,청호시장,청호시장,청호시장,bus_stop,platform
34.814522,126.421735,111200083,0,청호시장입구,청호시장입구,청호시장입구,bus_stop,platform
34.810825,126.423305,101000091,0,이마트,이마트,이마트,bus_stop,platform
34.809925,126.423342,101000092,0,제일성결교회,제일성결교회,제일성결교회,bus_stop,platform
34.808187,126.423262,101000093,0,하당농협,하당농협,하당농협,bus_stop,platform
