위도,경도,name,amenity,community_centre,community_centre:for,addr:full,operator,operator:type,source:date
33.3087689925,126.7796501094,토산2리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 토산중앙로16번길 1,토산2리 마을회,community,2020-06-10
33.30943,126.7809109,토산2리 복지회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 표선면 토산리 332-12,토산2리 마을회,community,2020-06-10
33.2450313075,126.5660082536,서귀 송산복지회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 소암로 4,제주특별자치도,community,2020-06-10
33.2412990528,126.6028597146,보목 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 보목로70번길 51-2,보목마을회,community,2020-06-10
33.2445080107,126.553679799,남성 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 남성중로141번길 3,남성마을회장(남성마을회),community,2020-06-10
33.2645972645,126.614332626,신효 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 신효중앙로4번길 1,신효마을회장,community,2020-06-10
33.2620182926,126.618911618,하효 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 하효중앙로 132,하효마을회장,community,2020-06-10
33.257979061,126.6177615376,하효 마을다목적회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 칠십리로 740,하효마을회,community,2020-06-10
33.2710092014,126.5905064083,토평 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 토상로 7,토평마을회,community,2020-06-10
33.2699674411,126.5895710391,토평동 다목적회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 토평로50번길 4,토평마을회,community,2020-06-10
33.2726392142,126.59708921,상효1동 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 상효로 152,상효1동 마을회,community,2020-06-10
33.2807980749,126.6098172814,상효2동 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 동상효로 23,상효2동 마을회,community,2020-06-10
33.2916097071,126.5960572815,법호촌 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 하신상로427번길 5-3,법호촌 마을회,community,2020-06-10
33.3021439073,126.5743325178,돈내코 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 돈내코로 217,돈내코 마을회,community,2020-06-10
33.266284543,126.5670494257,동홍동 복지회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 중산간동로 7950,제주특별자치도,community,2020-06-10
33.2639957,126.5484827,서홍동 복지회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 중산간동로 8106,제주특별자치도,community,2020-06-10
33.2404635743,126.5166016881,법환동 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 이어도로 968,법환동마을회,community,2020-06-10
33.2569979441,126.5227521564,서호동 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 서호로 33,서호동마을회,community,2020-06-10
33.2569893252,126.5280536203,호근동 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 호근남로 6,호근동마을회,community,2020-06-10
33.2517344048,126.5121056058,대륜동 새서귀포 마을회 사무실,community_centre,village_hall,senior,제주특별자치도 서귀포시 신동로27번길 6-7,새서귀포마을회,community,2020-06-10
33.2582508372,126.5240674978,서호마을 다목적회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 서호호근로 123,서호동마을회,community,2020-06-10
33.2501741409,126.5133719227,새서귀포 대륜동 문화복지센터,community_centre,village_hall,senior,제주특별자치도 서귀포시 서호남로 10,제주특별자치도,community,2020-06-10
33.237186615,126.4776856911,강정  마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 강정통물로 112,강정동마을회장,community,2020-06-10
33.2520636229,126.4811727628,용흥 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 용흥로 67,용흥동마을회,community,2020-06-10
33.2461211543,126.4610650518,월평 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 월평로 43,월평동마을회,community,2020-06-10
33.2508531483,126.4754668208,도순 마을복지회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 도순남로29번길 13,도순동마을회,community,2020-06-10
33.2459803,126.4586318,월평 다목적회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 월평로 41,월평마을회장,community,2020-06-10
33.2538114118,126.4250941838,중문 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 중문로26번길 7,중문마을회,community,2020-06-10
33.2424866373,126.4320740104,대포 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 대포동서로 135,대포마을회,community,2020-06-10
33.2570408681,126.4600579299,하원 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 하원로19번길 20-6,하원마을회,community,2020-06-10
33.2625699869,126.4462007791,회수 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 중산간서로 645,회수마을회,community,2020-06-10
33.2608296404,126.4104612685,색달 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 색달로72번길 2,색달마을회장,community,2020-06-10
33.2608296404,126.4104612685,색달 청년회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 색달로72번길 2,색달마을회장,community,2020-06-10
33.2609674483,126.4113832965,색달 복지회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 색달로 74,색달마을회장,community,2020-06-10
33.2487363,126.3884001,상예1 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 예래로144번길 42,상예1마을회장,community,2020-06-10
33.253224725,126.3897670496,상예1 복지타운,community_centre,village_hall,senior,제주특별자치도 서귀포시 상예로 77,상예1마을회장,community,2020-06-10
33.2657189772,126.3769642129,상예2 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 존제로15번길 2,상예2마을회장,community,2020-06-10
33.2653900966,126.3775461049,상예2 복지회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 존제로 12,상예2마을회장,community,2020-06-10
33.2652218663,126.3778005856,상예2 복지타운,community_centre,village_hall,senior,제주특별자치도 서귀포시 존제로 10,상예2마을회장,community,2020-06-10
33.2434436837,126.3860495285,하예1 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 하예로 1-3,하예1마을회,community,2020-06-10
33.2365133125,126.373291828,하예2 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 예래로 416,하예2마을회장,community,2020-06-10
33.2365133125,126.373291828,하예2 마을 복지회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 예래로 416,하예2마을회장,community,2020-06-10
