위도,경도,name,addr:full,source:date,amenity,karaoke
33.24976831,126.5613363,행운,제주특별자치도 서귀포시 중앙로 57,2020-08-20,bar,yes
33.25024894,126.5616086,만남가요방,제주특별자치도 서귀포시 중앙로 64,2020-08-20,bar,yes
33.25145997,126.5613922,해미가요방,제주특별자치도 서귀포시 중앙로 76,2020-08-20,bar,yes
33.25193949,126.5613512,엠비시가요방,제주특별자치도 서귀포시 중앙로 82,2020-08-20,bar,yes
33.25217238,126.5609165,닉스,제주특별자치도 서귀포시 중앙로 85,2020-08-20,bar,yes
33.25300767,126.5615347,항아리,제주특별자치도 서귀포시 중앙로 94,2020-08-20,bar,yes
33.24811566,126.5621128,당신의가요방,제주특별자치도 서귀포시 중앙로42번길 4,2020-08-20,bar,yes
33.2490419,126.5660485,우정가요방,제주특별자치도 서귀포시 중앙로42번길 42,2020-08-20,bar,yes
33.2493337,126.5659527,오름가요방,제주특별자치도 서귀포시 중앙로42번길 43,2020-08-20,bar,yes
33.24827902,126.5624168,썬가요방,제주특별자치도 서귀포시 중앙로42번길 6,2020-08-20,bar,yes
33.24845938,126.5603814,석향,제주특별자치도 서귀포시 중앙로47번길 11,2020-08-20,bar,yes
33.24841862,126.5600725,보물섬,제주특별자치도 서귀포시 중앙로47번길 15,2020-08-20,bar,yes
33.24866184,126.5574702,킹덤,제주특별자치도 서귀포시 중앙로47번길 42,2020-08-20,bar,yes
33.24947459,126.5649905,홍등,제주특별자치도 서귀포시 중앙로48번길 32,2020-08-20,bar,yes
33.24981794,126.5651991,바나나가요방,제주특별자치도 서귀포시 중앙로48번길 35,2020-08-20,bar,yes
33.24999864,126.5653055,손오공가요방,제주특별자치도 서귀포시 중앙로48번길 37,2020-08-20,bar,yes
33.25020954,126.5657981,코스모스,제주특별자치도 서귀포시 중앙로48번길 42-1,2020-08-20,bar,yes
33.24917733,126.5624981,베가2,제주특별자치도 서귀포시 중앙로48번길 7,2020-08-20,bar,yes
33.24917733,126.5624981,베가,제주특별자치도 서귀포시 중앙로48번길 7,2020-08-20,bar,yes
33.24949431,126.562385,뉴원가요방,제주특별자치도 서귀포시 중앙로54번길 16,2020-08-20,bar,yes
33.24949431,126.562385,369가요주점,제주특별자치도 서귀포시 중앙로54번길 16,2020-08-20,bar,yes
33.24977259,126.5635768,놀이터,제주특별자치도 서귀포시 중앙로54번길 38,2020-08-20,bar,yes
33.24990477,126.5601466,상록수가요방,제주특별자치도 서귀포시 중앙로59번길 14,2020-08-20,bar,yes
33.25003383,126.5609486,노래마루가요방,제주특별자치도 서귀포시 중앙로59번길 6,2020-08-20,bar,yes
33.25040813,126.5627753,거부가요방,제주특별자치도 서귀포시 중앙로62번길 13,2020-08-20,bar,yes
33.25053945,126.5642255,낙원가요방,제주특별자치도 서귀포시 중앙로62번길 28,2020-08-20,bar,yes
33.25026453,126.561939,알지가요방,제주특별자치도 서귀포시 중앙로62번길 5,2020-08-20,bar,yes
33.2504405,126.5596847,제우스,제주특별자치도 서귀포시 중앙로71번길 15-2,2020-08-20,bar,yes
33.25023142,126.5597115,비행,제주특별자치도 서귀포시 중앙로71번길 15-4,2020-08-20,bar,yes
33.25116541,126.5627501,미소가요방,제주특별자치도 서귀포시 중앙로72번길 14,2020-08-20,bar,yes
33.25085661,126.562112,우리가요방,제주특별자치도 서귀포시 중앙로72번길 8-5,2020-08-20,bar,yes
33.24731333,126.5575628,123가요방,제주특별자치도 서귀포시 중정로 12-4,2020-08-20,bar,yes
33.24705344,126.5574998,청사초롱,제주특별자치도 서귀포시 중정로 12-8,2020-08-20,bar,yes
33.24729725,126.5581123,호텔크리스탈,제주특별자치도 서귀포시 중정로 16,2020-08-20,bar,yes
33.24813846,126.5583613,대명가요방,제주특별자치도 서귀포시 중정로 19-7,2020-08-20,bar,yes
33.24767829,126.5567455,도쿄,제주특별자치도 서귀포시 중정로 3,2020-08-20,bar,yes
33.24767649,126.5613253,풍차가요방,제주특별자치도 서귀포시 중정로 45,2020-08-20,bar,yes
33.24767649,126.5613253,르네상스,제주특별자치도 서귀포시 중정로 45,2020-08-20,bar,yes
33.2476057,126.5627292,청포,제주특별자치도 서귀포시 중정로 60,2020-08-20,bar,yes
33.24778886,126.5635352,야구장가요방,제주특별자치도 서귀포시 중정로 66-2,2020-08-20,bar,yes
33.24819325,126.5657265,투투가요방,제주특별자치도 서귀포시 중정로 88,2020-08-20,bar,yes
33.24868329,126.566634,향수가요방,제주특별자치도 서귀포시 중정로 97,2020-08-20,bar,yes
33.24870256,126.5669902,킹카미시룸,제주특별자치도 서귀포시 중정로 99,2020-08-20,bar,yes
33.24805875,126.5613148,황진이,제주특별자치도 서귀포시 중정로47번길 5,2020-08-20,bar,yes
33.24803152,126.5628,제주가요방,제주특별자치도 서귀포시 중정로61번길 1,2020-08-20,bar,yes
33.24803152,126.5628,국민가요방,제주특별자치도 서귀포시 중정로61번길 1,2020-08-20,bar,yes
33.24803152,126.5628,늘봄가요방,제주특별자치도 서귀포시 중정로61번길 1,2020-08-20,bar,yes
33.24875,126.5630239,주연가요방,제주특별자치도 서귀포시 중정로61번길 10,2020-08-20,bar,yes
33.24875,126.5630239,백마,제주특별자치도 서귀포시 중정로61번길 10,2020-08-20,bar,yes
33.24984572,126.5628339,해조음,제주특별자치도 서귀포시 중정로61번길 22,2020-08-20,bar,yes
33.25000778,126.5627687,해궁미시룸,제주특별자치도 서귀포시 중정로61번길 24,2020-08-20,bar,yes
33.25012239,126.5625407,터울림가요방,제주특별자치도 서귀포시 중정로61번길 25,2020-08-20,bar,yes
33.25012239,126.5625407,호성가요방,제주특별자치도 서귀포시 중정로61번길 25,2020-08-20,bar,yes
33.25086832,126.5623652,명승지,제주특별자치도 서귀포시 중정로61번길 33-1,2020-08-20,bar,yes
33.24867318,126.5627153,에이스가요반주,제주특별자치도 서귀포시 중정로61번길 9,2020-08-20,bar,yes
33.24760265,126.562888,비타민가요방,제주특별자치도 서귀포시 중정로62번길 2,2020-08-20,bar,yes
33.24736799,126.5628205,락휴노래타운서귀포점,제주특별자치도 서귀포시 중정로62번길 4,2020-08-20,bar,yes
33.24939782,126.5657248,옹혜야미시룸,제주특별자치도 서귀포시 중정로91번길 10,2020-08-20,bar,yes
33.24928473,126.5653563,락희가요방,제주특별자치도 서귀포시 중정로91번길 11,2020-08-20,bar,yes
33.24966697,126.5653415,휴가요텔,제주특별자치도 서귀포시 중정로91번길 16,2020-08-20,bar,yes
33.2486526,126.5661062,서귀포가요방,제주특별자치도 서귀포시 중정로91번길 2,2020-08-20,bar,yes
33.25003925,126.5645413,동해가요방,제주특별자치도 서귀포시 중정로91번길 24,2020-08-20,bar,yes
33.2501935,126.5643044,동산가요방,제주특별자치도 서귀포시 중정로91번길 26,2020-08-20,bar,yes
33.250669,126.5631174,가향가요방,제주특별자치도 서귀포시 중정로91번길 37,2020-08-20,bar,yes
33.25092519,126.5631548,궁,제주특별자치도 서귀포시 중정로91번길 40,2020-08-20,bar,yes
33.25104705,126.5629352,스타노래방,제주특별자치도 서귀포시 중정로91번길 42,2020-08-20,bar,yes
33.25110798,126.5628276,한솔가요방,제주특별자치도 서귀포시 중정로91번길 44,2020-08-20,bar,yes
33.25141306,126.5624097,그랜드,제주특별자치도 서귀포시 중정로91번길 48,2020-08-20,bar,yes
33.2512857,126.5620884,혜원가요방,제주특별자치도 서귀포시 중정로91번길 49,2020-08-20,bar,yes
33.25219846,126.4217996,청학룸노래주점,제주특별자치도 서귀포시 천제연로 160-1,2020-08-20,bar,yes
33.25191216,126.4238318,준코뮤직타운제주중문점,제주특별자치도 서귀포시 천제연로 179,2020-08-20,bar,yes
33.25160966,126.4239282,썸씽가요주점,제주특별자치도 서귀포시 천제연로 182,2020-08-20,bar,yes
33.2518879,126.4248235,블루,제주특별자치도 서귀포시 천제연로 189,2020-08-20,bar,yes
