위도,경도,building,name,addr:full,지번주소,rooms,building:levels,building:levels:underground,start_date,비고,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.2495864196,126.5236551947,apartment,엘에이치1단지,,제주특별자치도 서귀포시 서호동 1540,450,13,2,2013-12-27,아파트.분양214.임대236,2020-02-18,,서호남로,92-15,,,,
33.28795232,126.2813226142,residential,라온프라이빗에듀,,제주특별자치도 서귀포시 대정읍 보성리 2405,420,4,,2014-09-19,연립,2020-02-18,,에듀시티로,74,대정읍,,,
33.2606034472,126.5545595588,apartment,오페라하우스,,제주특별자치도 서귀포시 서홍동 1588-7,48,7,,2014-12-23,아파트,2020-02-18,,서홍로178번길,45,,,,
33.2619342083,126.6138678165,residential,이도스타빌리지,,제주특별자치도 서귀포시 신효동 879-3,80,5,,2014-12-24,단지형다세대,2020-02-18,,신효로,16,,,,
33.2579948954,126.5562855853,apartment,형남4차아파트,,제주특별자치도 서귀포시 서홍동 349-1,86,7,1,2015-01-08,아파트,2020-02-18,,홍중로,59,,,,
33.2538368118,126.5686518333,apartment,휴마루,,제주특별자치도 서귀포시 동홍동 440,47,7,1,2015-01-29,아파트,2020-02-18,,문부로11번길,21,,,,
33.2574905447,126.5739782666,apartment,서강파인힐 3차,,제주특별자치도 서귀포시 동홍동 96-2,35,9,,2015-02-10,아파트,2020-02-18,,동홍동로31번길,7,,,,
33.2525221765,126.5498102103,residential,온주빌,,제주특별자치도 서귀포시 서홍동 1142,72,4,,2015-02-12,단지형연립,2020-02-18,,하논로,29-16,,,,
33.4498862494,126.9130528924,apartment,드림펠리스,,제주특별자치도 서귀포시 성산읍 고성리 1123-2,30,7,,2015-04-13,아파트,2020-02-18,,고성동서로,56,성산읍,,,
33.2884843055,126.5780360369,residential,파우제인제주 마운틴블록,,제주특별자치도 서귀포시 토평동 3084,194,4,1,2015-08-05,단지형연립,2020-02-18,,인정오름로86번길,12-7,,,,
33.2879129642,126.5786528532,residential,파우제인제주 오션블록,,제주특별자치도 서귀포시 토평동 3084-2,182,4,1,2015-08-05,단지형연립,2020-02-18,,인정오름로86번길,10,,,,
33.2840884496,126.2742564784,residential,삼정 G.edu,,제주특별자치도 서귀포시 대정읍 보성리 2424,701,4,,2015-08-21,연립,2020-02-18,,에듀시티로,148,대정읍,,,
33.2549079336,126.5047563113,apartment,강정상록아파트,,제주특별자치도 서귀포시 강정동 189,358,10,2,2015-08-31,아파트임대,2020-02-18,,신서로,55,,,,
33.2480065029,126.5198351187,apartment,제주혁신도시엘에이치2단지,,제주특별자치도 서귀포시 서호동 1545,548,13,1,2015-09-01,아파트,2020-02-18,,서호남로,92-16,,,,
33.4166766332,126.8450514457,residential,난산리 단독주택단지,,제주특별자치도 서귀포시 성산읍 난산리 2603,20,1,,2015-11-17,단독,2020-02-18,,서성일로,506-34,성산읍,,,
33.2606261634,126.5227710632,residential,서호메디치,,제주특별자치도 서귀포시 서호동 611-1,50,5,1,2015-11-19,단지형연립,2020-02-18,,서호상로,46,,,,
33.2511415684,126.571442239,apartment,제이원파크,,제주특별자치도 서귀포시 동홍동 405-1,105,6,1,2015-11-20,아파트,2020-02-18,,동홍서로,10-10,,,,
33.2602721921,126.5547114884,apartment,서홍캐슬휘닉스아파트,,제주특별자치도 서귀포시 서홍동 1589-1,42,7,1,2015-11-25,아파트,2020-02-18,,서홍로178번길,49,,,,
33.2601768612,126.5552829156,apartment,서홍에이원시티,,제주특별자치도 서귀포시 서홍동 1593-1,48,7,1,2016-01-21,아파트,2020-02-18,,홍중로,87,,,,
33.2814331933,126.7212017646,apartment,서귀포남원엘에이치아파트,,제주특별자치도 서귀포시 남원읍 남원리 2494,354,7,,2016-01-29,아파트30년임대,2020-02-18,,남원체육관로,342,남원읍,,,
33.3290065394,126.8338776616,apartment,표선 해비치 오션뷰,,제주특별자치도 서귀포시 표선면 표선리 507-2,42,7,1,2016-02-16,아파트,2020-02-18,,표선중앙로43번길,25-6,표선면,,,
33.2639556573,126.569392013,apartment,예그린하우스텔,,제주특별자치도 서귀포시 동홍동 1202-1,62,7,,2016-02-22,아파트,2020-02-18,,중산간동로7929번길,26,,,,
33.253602431,126.4337834781,apartment,중문메리디안1단지,,제주특별자치도 서귀포시 중문동 1869-1,64,4,1,2016-02-23,아파트,2020-02-18,,1100로,34,,,,
33.253148016,126.522288039,apartment,사랑으로부영아파트,,제주특별자치도 서귀포시 서호동 1534,716,13,1,2016-04-11,아파트5년임대,2020-02-18,,서호남로,91,,,,
33.2571683709,126.5673648336,apartment,금성동홍스마트빌,,제주특별자치도 서귀포시 동홍동 534-1,56,7,1,2016-04-26,아파트,2020-02-18,,동홍로99번길,11,,,,
33.2923314344,126.2852331742,residential,해동그린앤골드,,제주특별자치도 서귀포시 대정읍 구억리 1115,288,5,,2016-04-29,연립,2020-02-18,,에듀시티로,23,대정읍,,,
33.2237530465,126.256613031,apartment,해누리아파트,,제주특별자치도 서귀포시 대정읍 상모리 3922,53,7,1,2016-05-12,아파트,2020-02-18,,상모로290번길,18,대정읍,,,
33.2539737409,126.4353349584,residential,중문메리디안2단지,,제주특별자치도 서귀포시 중문동 1847-1,64,4,1,2016-08-12,단지형연립,2020-02-18,,1100로,36,,,,
33.2732369161,126.2786310461,residential,제주에듀골드힐,,제주특별자치도 서귀포시 대정읍 보성리 441,68,4,,2016-08-19,다세대,2020-02-18,,영어도시로,9,대정읍,,,
33.2617742258,126.5551932565,apartment,아우룸숲,,제주특별자치도 서귀포시 서홍동 1598,54,7,1,2016-09-08,아파트,2020-02-18,,홍중로,105,,,,
33.2897822789,126.2986303242,residential,라모인빌리지,,제주특별자치도 서귀포시 안덕면 서광리 1395,59,4,,2016-10-14,다세대주택,2020-02-18,,녹차분재로,81,안덕면,,,
33.252323026,126.5004870669,apartment,중흥에스클래스,,제주특별자치도 서귀포시 강정동 195,524,12,1,2016-11-22,아파트,2020-02-18,,대청로,12,,,,
33.254902749,126.4294825733,apartment,남해오네뜨오션힐,,제주특별자치도 서귀포시 중문동 1725,290,5,1,2016-12-06,아파트,2020-02-18,,중문상로82번길,15,,,,
33.4471197208,126.9075361297,apartment,제주&성산,,제주특별자치도 서귀포시 성산읍 고성리 1480,70,6,1,2016-12-15,아파트,2020-02-18,,고성중앙로,28-5,성산읍,,,
33.2532605399,126.5022416399,apartment,서귀포강정엘에이치아파트,,제주특별자치도 서귀포시 강정동 192,556,10,,2016-12-19,아파트30년임대,2020-02-18,,대청로25번길,9,,,,
33.2528996745,126.5003893522,apartment,강정골드클래스,,제주특별자치도 서귀포시 강정동 193,212,12,1,2017-01-02,아파트,2020-02-18,,대청로,11,,,,
33.3411326636,126.8142482532,residential,대진유토피아,,제주특별자치도 서귀포시 표선면 표선리 2956,284,4,,2017-01-23,연립,2020-02-18,,번영로3428번길,129,표선면,,,
33.2581356665,126.5759583689,apartment,동홍동 형남아파트,,제주특별자치도 서귀포시 동홍동 76-1,68,9,,2017-01-26,아파트,2020-02-18,,동홍중앙로90번길,38-4,,,,
33.252351393,126.5030666454,apartment,제주강정유승한내들퍼스트오션,,제주특별자치도 서귀포시 강정동 200,499,12,,2017-03-20,아파트,2020-02-18,,대청로,34,,,,
33.2498661584,126.3340555379,apartment,블루팰리스,,제주특별자치도 서귀포시 안덕면 화순리 1131,47,7,,2017-03-31,아파트,2020-02-18,,화순중앙로12번길,3,안덕면,,,
33.2202110311,126.2583464215,apartment,아이진 베라뷰,,제주특별자치도 서귀포시 대정읍 상모리 4170,68,7,,2017-06-22,아파트,2020-02-18,,상모로273번길,44,대정읍,,,
33.2752533091,126.5679068082,residential,데이즈힐 블루스톤,,제주특별자치도 서귀포시 토평동 3289,33,1,,2017-06-30,연립,2020-02-18,,동홍로302번길,6,,,,
33.2614845942,126.4101606633,residential,휴마루 라벨로,,제주특별자치도 서귀포시 색달동 3398,64,4,,2017-07-13,단지형연립,2020-02-18,,색달로,63,,,,
33.2597705892,126.505029369,residential,강정코아루더테라스 블루아조은파트너스,,제주특별자치도 서귀포시 강정동 5669,48,4,,2017-07-31,단지형연립,2020-02-18,,신서로,87,,,,
33.2588478746,126.5051676473,residential,강정코아루더테라스 블루아도시포럼,,제주특별자치도 서귀포시 강정동 5669-1,50,4,,2017-07-31,단지형연립,2020-02-18,,신서로,89,,,,
33.2623759713,126.5238819971,residential,광진주택,,제주특별자치도 서귀포시 서호동 395-6,64,4,,2017-08-07,단지형연립,2020-02-18,,서호호근로,168-1,,,,
33.2869152165,126.2803434879,residential,한신 더 휴,,제주특별자치도 서귀포시 대정읍 보성리 2417,548,5,,2017-08-30,연립(임대),2020-02-18,,에듀시티로,102,대정읍,,,
33.2513260343,126.5571820597,apartment,다인하우스2,,제주특별자치도 서귀포시 서귀동 328-2,41,6,1,2017-09-13,아파트,2020-02-18,,서문서로55번길,19,,,,
33.3815510041,126.8787218702,residential,위듀파크,,제주특별자치도 서귀포시 성산읍 신산리 1983,32,4,,2017-10-18,다세대주택,2020-02-18,,환해장성로111번길,15,성산읍,,,
33.2491647443,126.3303695619,apartment,화순코아루 푸르나임,,제주특별자치도 서귀포시 안덕면 화순리 1053-108,88,7,,2017-11-10,아파트,2020-02-18,,화순중앙로12번길,39,안덕면,,,
33.257939723,126.5285507552,apartment,호근동 코아루,,제주특별자치도 서귀포시 호근동 2161,40,5,,2017-12-21,아파트,2020-02-18,,호근북로,10,,,,
33.2705964259,126.2779100294,residential,구억빌리지더휴(우개발),,제주특별자치도 서귀포시 대정읍 보성리 2547,46,4,,2018-02-28,다세대주택,2020-02-18,,보성구억로,217,대정읍,,,
33.2487026029,126.4340897791,residential,천마에코피아(7차),,제주특별자치도 서귀포시 대포동 792,72,4,,2018-03-16,단지형연립,2020-02-18,,대포중앙로,21,,,,
33.2470395143,126.4292460949,residential,중문오션힐,,제주특별자치도 서귀포시 대포동 2612,56,5,,2018-09-05,단지형연립,2020-02-18,,중문관광로301번길,3,,,,
33.3027643219,126.3358441485,residential,신화오션빌,,제주특별자치도 서귀포시 안덕면 동광리 1051-1,54,4,,2018-09-07,연립,2020-02-18,,동광로,64,안덕면,,,
33.2458925015,126.2742289594,residential,에듀골드힐더클래식,,제주특별자치도 서귀포시 대정읍 보성리 2548,83,4,1,2018-12-07,연립,2020-02-18,,일주서로,2290,대정읍,,,
33.2633091695,126.5578256482,apartment,스마트리치 아파트,,제주특별자치도 서귀포시 서홍동 2596,69,7,1,2018-12-10,아파트,2020-02-18,,중앙로207번길,8,,,,
33.2391979,126.3620254,residential,대평아르테라스,-,제주특별자치도 서귀포시 안덕면 창천리 927,48,4,,2018-12-14,연립,2020-02-18,,,,,,,
